dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag,peak_time
ingv,ECPN,sim4,template3,0.30164429886097327,0.5117384728755825,0.503761781705159,0.4528068479631036,44.15612983550642,False,False,False,2022-12-31 18:35:49
ingv,ECPN,sim4,template2,0.2809118124300276,0.35634089691076415,0.397313733461379,0.33737699250732567,49.866575224725814,False,False,False,2023-01-16 19:14:48
ingv,ECPN,sim4,template3,0.22219406906085662,0.6214896234175846,0.5839735247216002,0.37804982225373995,169.68977967515846,False,False,False,2023-02-03 01:53:28
ingv,ECPN,sim2,template3,0.5171111583255967,0.38962103840734663,0.31426404371665584,0.45106248325967446,35.949522759439034,True,False,False,2023-02-21 23:09:22
ingv,ECPN,sim4,template2,0.04926311020207408,0.6537519091246374,0.6372911687387197,0.5042820262694763,4.137513294667142,False,True,False,2023-02-10 19:59:33
ingv,ECPN,sim3,template2,0.40740976315633715,0.6562653509309971,0.6560661723404799,0.515307244496091,127.0777196456587,False,True,True,2023-01-02 14:35:36
ingv,ECPN,sim1,template2,0.5151632206955279,0.07280245938944839,0.0032398898862615617,0.42326158650566753,75.87256735239981,True,False,False,2023-02-15 11:21:58
ingv,ECPN,sim4,template3,0.45641915398172944,0.5991186813844002,0.59821898246242,0.5398853179257953,159.21698297613239,False,False,False,2023-01-10 15:03:02
ingv,ECPN,sim3,template2,0.3056073557078522,0.5840577352952756,0.5952965822025273,0.4124027686830797,48.3364089569929,False,False,False,2023-02-16 23:30:39
ingv,ECPN,sim2,template2,0.4221547000074073,0.46675363363743044,0.4832975048844116,0.45876859934248204,124.23514952746892,False,False,False,2022-12-26 17:58:14
ingv,ECPN,sim4,template3,0.37971701842084077,0.5684344867162416,0.5684809945715467,0.4990618160228425,41.348812852055644,False,False,False,2022-12-10 02:53:02
ingv,ECPN,sim2,template1,0.3026229380092296,0.47307313522126415,0.48398695938628145,0.4312532000698615,4.897362094130597,False,False,False,2022-11-19 12:34:49
ingv,ECPN,sim2,template2,0.5818200281264898,0.515695914198323,0.5158031799874612,0.5394538574091289,152.97993027501508,True,False,False,2022-12-11 10:07:59
ingv,ECPN,sim4,template3,0.1481592506646275,0.6544296410051317,0.6624633789336251,0.4881416932298164,23.4620916031048,False,False,False,2023-02-12 00:56:10
ingv,ECPN,sim2,template3,0.13824468951384108,0.5283848801685842,0.5270069705221426,0.41359118233079556,2.4226135127525947,False,False,False,2022-12-07 21:56:02
ingv,ECPN,sim4,template1,0.30825551578861976,0.3956525296318548,0.4160967240518816,0.3473256619799959,55.73016799600211,False,False,False,2023-02-18 07:12:54
ingv,ECPN,sim4,template1,0.28388677520409844,0.6160552833881323,0.6119944027654414,0.4156422330673706,15.15779073156885,False,False,False,2023-01-07 17:59:36
ingv,ECPN,sim2,template3,0.4323927125581051,0.4849252241958088,0.5032126036087093,0.45906859845552267,122.95295118197122,False,False,False,2022-12-28 03:58:08
ingv,ECPN,sim3,template3,0.21136081594325543,0.6413607588882064,0.627212429949219,0.5038345114174976,151.96507132895823,False,False,False,2023-01-04 01:56:36
ingv,ECPN,sim4,template2,0.3096091429205219,0.48178871912316124,0.43537444755228094,0.4093721906267507,24.055658564361185,False,False,False,2023-01-26 14:27:48
ingv,ECPN,sim4,template1,0.2493346408765175,0.5630038435108417,0.589052404826973,0.4501446393822118,40.77898149065463,False,False,False,2023-01-12 01:38:23
ingv,ECPN,sim4,template1,0.4791943145165564,0.0013038049443046356,0.07260416202906769,0.3927143057304643,74.55190615337284,False,False,False,2023-02-01 01:37:06
ingv,ECPN,sim2,template1,0.5531861506220642,0.4787057289657421,0.481672067060839,0.52394447442351,148.57357794440327,True,False,False,2022-12-11 12:32:41
ingv,ECPN,sim2,template2,0.11410815593443605,0.5987465631280205,0.5994330224357914,0.451925267955301,6.13508644765389,False,False,False,2022-12-25 15:49:30
ingv,ECPN,sim2,template3,0.46179383243642896,0.5095276917285778,0.545308417155936,0.48695782420618794,63.12799619575801,False,False,False,2023-02-21 03:49:39
ingv,ECPN,sim4,template2,0.1201447488967629,0.5997384252287916,0.6039524106929732,0.45417510874625394,153.73989632381912,False,False,False,2023-02-16 12:50:13
ingv,ECPN,sim4,template3,0.4499421606326069,0.18556161089171716,0.20851177958748154,0.3894852418256833,99.33248885668668,False,False,False,2023-01-03 09:22:21
ingv,ECPN,sim3,template1,0.1373486939318018,0.6426540511502573,0.6456794250603738,0.37604099922470163,5.187589998249662,False,True,True,2023-02-11 20:42:11
ingv,ECPN,sim3,template3,0.2233761114371498,0.7015632748381058,0.7186664610482929,0.5763033375967463,149.6431248996811,False,True,True,2023-02-04 07:13:33
ingv,ECPN,sim2,template1,0.3782981738772693,0.3836670167961209,0.43388140734718444,0.3940691541448306,109.92214339700827,False,False,False,2023-02-12 09:22:51
ingv,ECPN,sim4,template2,0.1526777996802262,0.5620795977737162,0.5601622855377736,0.4578834241852586,0.936767547012436,False,False,False,2022-12-02 22:34:36
ingv,ECPN,sim4,template3,0.29895800650526966,0.5262469816225454,0.5427573080159145,0.4537404612413667,30.68072736313366,False,False,False,2023-02-14 17:12:51
ingv,ECPN,sim3,template3,0.3255148819408122,0.6172223555026709,0.6289611189283572,0.47237283935126884,135.23166210216831,False,False,False,2023-01-02 01:25:08
ingv,ECPN,sim3,template1,0.49373633404004025,0.41281951337950396,0.373795020210415,0.4566530389291242,148.69138247976463,False,False,False,2023-02-02 09:59:52
ingv,ECPN,sim3,template1,0.6398365600503845,0.3256055370060684,0.32879237220955737,0.4878333468143016,41.33936417134336,True,False,False,2022-12-03 13:31:47
ingv,ECPN,sim4,template2,0.438250518501839,0.6301012778827962,0.6409406158613766,0.534402329793489,48.39205460528649,False,False,False,2023-01-02 05:39:17
ingv,ECPN,sim3,template2,0.2675574599709343,0.5392445008859468,0.5395968766364191,0.44140750120188277,147.96028912886473,False,False,False,2022-12-15 17:03:53
ingv,ECPN,sim4,template2,0.6098133982521224,0.44435767578393515,0.4448981644143235,0.5332517608924794,62.484038177668666,False,False,False,2022-12-09 10:31:19
ingv,ECPN,sim2,template2,0.18303161301261509,0.613438935844818,0.6217396038613793,0.3983869227567341,141.95919264596526,False,False,True,2023-02-03 03:15:08
ingv,ECPN,sim4,template3,0.4092404983967594,0.5930209856044245,0.5945629236033477,0.5285593153880664,135.20752330275886,False,False,False,2022-12-10 03:02:46
ingv,ECPN,sim2,template3,0.3027844488486358,0.6691686979061982,0.6688516270638931,0.5963850021799535,30.00535053731939,False,True,True,2022-11-26 19:54:04
ingv,ECPN,sim4,template3,0.3663357132295065,0.6120845549125675,0.6051198738962558,0.5258869571104563,21.751962303784968,False,False,False,2022-12-07 16:09:17
ingv,ECPN,sim4,template1,0.1357741016407568,0.6187626892915656,0.6193272023612113,0.5635313377043873,9.895588343742503,False,False,False,2022-11-15 18:34:14
ingv,ECPN,sim4,template1,0.508866650570222,0.45553269340770663,0.503846840042364,0.49521066621759113,105.06753578912085,False,False,False,2023-02-15 21:55:14
