dataset,station,component,configuration,template,floor_detect,floor_signif,n_detect,n_signif,max_r,mean_r
experiment,ECOR,dir,sim3,template3,0.5118,0.5371,0,0,,
experiment,ECOR,dir,sim3,template4,0.2927,0.318,1,1,0.334,0.334
experiment,ECOR,dir,sim4,template1,0.496,0.5303,3,3,0.7104,0.6554
experiment,ECOR,dir,sim4,template2,0.4846,0.5389,0,0,,
experiment,ECOR,dir,sim4,template3,0.5183,0.5601,1,1,0.5714,0.5714
experiment,ECOR,dir,sim4,template4,0.2861,0.3065,2,1,0.3139,0.3006
experiment,ECOR,dir2,sim1,template1,0.5155,0.553,3,1,0.5866,0.5444
experiment,ECOR,dir2,sim1,template2,0.5114,0.5569,1,0,0.536,0.536
experiment,ECOR,dir2,sim1,template3,0.5288,0.562,2,1,0.6064,0.5683
experiment,ECOR,dir2,sim1,template4,0.2964,0.3227,0,0,,
experiment,ECOR,dir2,sim2,template1,0.5141,0.5626,5,0,0.5575,0.537
experiment,ECOR,dir2,sim2,template2,0.4635,0.5185,11,0,0.5086,0.4792
experiment,ECOR,dir2,sim2,template3,0.4185,0.4414,20,12,0.5339,0.4594
experiment,ECOR,dir2,sim2,template4,0.2609,0.2834,17,10,0.3235,0.2905
experiment,ECOR,dir2,sim3,template1,0.5215,0.5723,8,2,0.6409,0.5582
experiment,ECOR,dir2,sim3,template2,0.4365,0.471,39,23,0.6655,0.4953
experiment,ECOR,dir2,sim3,template3,0.4446,0.4749,41,22,0.6489,0.4996
experiment,ECOR,dir2,sim3,template4,0.2271,0.2433,70,56,0.3997,0.2856
experiment,ECOR,dir2,sim4,template1,0.4896,0.5252,20,9,0.6121,0.5295
experiment,ECOR,dir2,sim4,template2,0.4322,0.478,42,18,0.6637,0.4878
experiment,ECOR,dir2,sim4,template3,0.4393,0.4825,40,28,0.6563,0.5028
experiment,ECOR,dir2,sim4,template4,0.2393,0.2596,57,41,0.4224,0.2964
experiment,ECOR,mag,sim1,template1,0.4843,0.5215,1,1,0.5247,0.5247
experiment,ECOR,mag,sim1,template2,0.4596,0.4997,2,0,0.4919,0.4829
experiment,ECOR,mag,sim1,template3,0.5828,0.6191,2,0,0.6027,0.5963
experiment,ECOR,mag,sim1,template4,0.2523,0.2774,2,1,0.2912,0.2736
experiment,ECOR,mag,sim2,template1,0.5479,0.6019,9,3,0.7182,0.5991
experiment,ECOR,mag,sim2,template2,0.4958,0.5467,1,0,0.5104,0.5104
experiment,ECOR,mag,sim2,template3,0.4996,0.5371,0,0,,
experiment,ECOR,mag,sim2,template4,0.2856,0.3051,1,1,0.3172,0.3172
experiment,ECOR,mag,sim3,template1,0.5096,0.5687,8,2,0.6267,0.5608
experiment,ECOR,mag,sim3,template2,0.5074,0.5566,5,2,0.6298,0.5533
experiment,ECOR,mag,sim3,template3,0.5339,0.5572,2,1,0.5855,0.5675
experiment,ECOR,mag,sim3,template4,0.2795,0.2989,9,6,0.3832,0.3178
experiment,ECOR,mag,sim4,template1,0.5336,0.569,4,3,0.6631,0.5962
experiment,ECOR,mag,sim4,template2,0.5137,0.5603,3,2,0.6494,0.5945
experiment,ECOR,mag,sim4,template3,0.5303,0.5731,3,1,0.5821,0.557
experiment,ECOR,mag,sim4,template4,0.3013,0.3241,5,5,0.3677,0.3459
experiment,ECOR,vec,sim1,template1,0.3881,0.4023,9,7,0.4412,0.4096
experiment,ECOR,vec,sim1,template2,0.3919,0.4177,4,3,0.4476,0.4254
experiment,ECOR,vec,sim1,template3,0.4351,0.4579,6,5,0.5605,0.4872
experiment,ECOR,vec,sim1,template4,0.2247,0.2426,5,1,0.2428,0.2341
experiment,ECOR,vec,sim2,template1,0.4901,0.5414,8,2,0.5746,0.518
experiment,ECOR,vec,sim2,template2,0.361,0.3868,21,12,0.5155,0.4065
experiment,ECOR,vec,sim2,template3,0.3239,0.3535,41,27,0.4829,0.3728
experiment,ECOR,vec,sim2,template4,0.201,0.22,33,22,0.2791,0.2305
experiment,ECOR,vec,sim3,template1,0.4039,0.4504,18,9,0.5761,0.4664
experiment,ECOR,vec,sim3,template2,0.3672,0.4051,34,12,0.5347,0.4122
experiment,ECOR,vec,sim3,template3,0.3723,0.4009,28,19,0.5148,0.4254
experiment,ECOR,vec,sim3,template4,0.2093,0.2281,38,27,0.316,0.2489
experiment,ECOR,vec,sim4,template1,0.3847,0.4105,29,17,0.6113,0.4372
experiment,ECOR,vec,sim4,template2,0.3556,0.3836,36,21,0.5398,0.4069
experiment,ECOR,vec,sim4,template3,0.3891,0.4218,25,12,0.5408,0.4352
experiment,ECOR,vec,sim4,template4,0.2037,0.2242,50,35,0.3527,0.2445
experiment,EMAS,dir,sim2,template1,0.5526,0.5944,11,3,0.6281,0.5839
experiment,EMAS,dir,sim2,template2,0.4811,0.5298,3,2,0.5574,0.5425
experiment,EMAS,dir,sim2,template3,0.4743,0.5126,3,1,0.5166,0.493
experiment,EMAS,dir,sim2,template4,0.2689,0.2838,12,9,0.3448,0.3007
experiment,EMAS,dir,sim3,template1,0.5413,0.5686,7,5,0.6211,0.5854
experiment,EMAS,dir,sim3,template2,0.5379,0.5972,4,1,0.6367,0.5799
experiment,EMAS,dir,sim3,template3,0.5789,0.613,2,2,0.7073,0.6735
experiment,EMAS,dir,sim3,template4,0.3158,0.3484,10,7,0.4404,0.3823
experiment,EMAS,dir,sim4,template1,0.5512,0.6048,10,6,0.6752,0.6109
experiment,EMAS,dir,sim4,template2,0.5268,0.5774,5,1,0.6018,0.5543
experiment,EMAS,dir,sim4,template3,0.602,0.6466,3,0,0.6256,0.6188
experiment,EMAS,dir,sim4,template4,0.3143,0.3486,16,10,0.3966,0.3578
experiment,EMAS,dir2,sim2,template1,0.4942,0.5234,13,9,0.6183,0.554
experiment,EMAS,dir2,sim2,template2,0.5378,0.5847,0,0,,
experiment,EMAS,dir2,sim2,template3,0.5495,0.5929,0,0,,
experiment,EMAS,dir2,sim2,template4,0.3042,0.3232,3,2,0.3943,0.3488
experiment,EMAS,dir2,sim3,template1,0.5446,0.5829,8,4,0.626,0.5834
experiment,EMAS,dir2,sim3,template2,0.591,0.6267,0,0,,
experiment,EMAS,dir2,sim3,template3,0.5818,0.6066,0,0,,
experiment,EMAS,dir2,sim3,template4,0.3387,0.3686,1,0,0.3479,0.3479
experiment,EMAS,dir2,sim4,template1,0.5805,0.6111,8,2,0.6826,0.6081
experiment,EMAS,dir2,sim4,template2,0.5899,0.6405,0,0,,
experiment,EMAS,dir2,sim4,template3,0.5311,0.5745,1,0,0.542,0.542
experiment,EMAS,dir2,sim4,template4,0.3259,0.365,1,0,0.3346,0.3346
experiment,EMAS,mag,sim2,template1,0.5378,0.5695,9,8,0.7314,0.6682
experiment,EMAS,mag,sim2,template2,0.4423,0.4818,14,6,0.545,0.4886
experiment,EMAS,mag,sim2,template3,0.4526,0.4731,8,6,0.5214,0.4947
experiment,EMAS,mag,sim2,template4,0.2546,0.2682,10,8,0.3076,0.2858
experiment,EMAS,mag,sim3,template1,0.5084,0.5477,14,9,0.7362,0.6244
experiment,EMAS,mag,sim3,template2,0.5563,0.6076,2,0,0.5696,0.5669
experiment,EMAS,mag,sim3,template3,0.5949,0.6415,2,0,0.6159,0.6135
experiment,EMAS,mag,sim3,template4,0.3362,0.3573,5,4,0.4247,0.3829
experiment,EMAS,mag,sim4,template1,0.5455,0.5815,10,8,0.6793,0.6089
experiment,EMAS,mag,sim4,template2,0.532,0.5873,0,0,,
experiment,EMAS,mag,sim4,template3,0.5917,0.6171,1,0,0.5991,0.5991
experiment,EMAS,mag,sim4,template4,0.3334,0.3654,6,1,0.3923,0.3621
experiment,EMAS,vec,sim2,template1,0.4362,0.4553,11,7,0.5687,0.4951
experiment,EMAS,vec,sim2,template2,0.3979,0.4191,7,4,0.4634,0.4241
experiment,EMAS,vec,sim2,template3,0.3861,0.4107,5,0,0.4094,0.4007
experiment,EMAS,vec,sim2,template4,0.2237,0.2454,14,7,0.278,0.2457
experiment,EMAS,vec,sim3,template1,0.4232,0.4512,9,8,0.5466,0.4992
experiment,EMAS,vec,sim3,template2,0.4547,0.4792,5,3,0.533,0.4954
experiment,EMAS,vec,sim3,template3,0.4521,0.4733,5,3,0.6118,0.5203
experiment,EMAS,vec,sim3,template4,0.2552,0.2732,11,8,0.387,0.3117
experiment,EMAS,vec,sim4,template1,0.4408,0.4632,9,9,0.6274,0.544
experiment,EMAS,vec,sim4,template2,0.4338,0.4632,4,3,0.5043,0.4833
experiment,EMAS,vec,sim4,template3,0.4744,0.518,3,2,0.5826,0.5373
experiment,EMAS,vec,sim4,template4,0.2583,0.2772,16,10,0.3514,0.2915
