dataset,station,component,configuration,template,floor_detect,floor_signif,n_detect,n_signif,max_r,mean_r
ingv,EEC1,dir,sim3,template2,0.411,0.4526,156,64,0.5847,0.4544
ingv,EEC1,dir,sim3,template3,0.4151,0.4487,187,97,0.6175,0.462
ingv,EEC1,dir,sim3,template4,0.274,0.3067,99,30,0.387,0.2996
ingv,EEC1,dir,sim4,template1,0.4725,0.5122,89,57,0.6772,0.5437
ingv,EEC1,dir,sim4,template2,0.4249,0.4416,158,111,0.599,0.4683
ingv,EEC1,dir,sim4,template3,0.4303,0.4587,110,56,0.5827,0.4697
ingv,EEC1,dir,sim4,template4,0.2459,0.2652,218,132,0.3948,0.2832
ingv,EEC1,dir2,sim1,template1,0.502,0.5329,13,5,0.5999,0.5332
ingv,EEC1,dir2,sim1,template2,0.4761,0.5202,23,6,0.537,0.5051
ingv,EEC1,dir2,sim1,template3,0.512,0.5629,40,6,0.6012,0.5409
ingv,EEC1,dir2,sim1,template4,0.2914,0.3193,26,3,0.3617,0.3087
ingv,EEC1,dir2,sim2,template1,0.476,0.5094,93,56,0.6988,0.5447
ingv,EEC1,dir2,sim2,template2,0.4656,0.5149,31,4,0.5453,0.4958
ingv,EEC1,dir2,sim2,template3,0.4582,0.4951,28,6,0.5631,0.4853
ingv,EEC1,dir2,sim2,template4,0.2725,0.2909,46,18,0.3334,0.2904
ingv,EEC1,dir2,sim3,template1,0.4477,0.5112,93,27,0.5943,0.4947
ingv,EEC1,dir2,sim3,template2,0.4623,0.516,86,17,0.5804,0.4939
ingv,EEC1,dir2,sim3,template3,0.4662,0.5083,72,27,0.6198,0.5097
ingv,EEC1,dir2,sim3,template4,0.271,0.2981,118,39,0.3516,0.2931
ingv,EEC1,dir2,sim4,template1,0.4675,0.5045,102,68,0.7184,0.5463
ingv,EEC1,dir2,sim4,template2,0.4475,0.5097,87,10,0.6241,0.4822
ingv,EEC1,dir2,sim4,template3,0.4398,0.4754,95,46,0.5919,0.483
ingv,EEC1,dir2,sim4,template4,0.2453,0.258,198,139,0.3796,0.2793
ingv,EEC1,mag,sim1,template1,0.4577,0.4826,41,14,0.5431,0.479
ingv,EEC1,mag,sim1,template2,0.4804,0.5159,28,9,0.5695,0.5091
ingv,EEC1,mag,sim1,template3,0.4908,0.5314,73,32,0.6012,0.5288
ingv,EEC1,mag,sim1,template4,0.2863,0.3232,23,5,0.3759,0.307
ingv,EEC1,mag,sim2,template1,0.475,0.5132,105,71,0.6822,0.5529
ingv,EEC1,mag,sim2,template2,0.4669,0.4898,42,16,0.5499,0.4925
ingv,EEC1,mag,sim2,template3,0.4362,0.4714,56,25,0.5661,0.4744
ingv,EEC1,mag,sim2,template4,0.2685,0.2953,66,20,0.3585,0.2902
ingv,EEC1,mag,sim3,template1,0.4753,0.527,78,19,0.5934,0.5097
ingv,EEC1,mag,sim3,template2,0.413,0.4537,197,87,0.6087,0.4595
ingv,EEC1,mag,sim3,template3,0.4368,0.4683,154,90,0.5996,0.4835
ingv,EEC1,mag,sim3,template4,0.2435,0.2616,286,162,0.39,0.274
ingv,EEC1,mag,sim4,template1,0.4501,0.5022,164,88,0.6849,0.5294
ingv,EEC1,mag,sim4,template2,0.4057,0.4317,201,129,0.5939,0.4525
ingv,EEC1,mag,sim4,template3,0.4543,0.502,79,22,0.5855,0.4902
ingv,EEC1,mag,sim4,template4,0.2264,0.2429,329,229,0.3947,0.2658
ingv,EEC1,vec,sim1,template1,0.3782,0.4076,64,21,0.5128,0.4044
ingv,EEC1,vec,sim1,template2,0.3727,0.4083,81,16,0.4768,0.3989
ingv,EEC1,vec,sim1,template3,0.3949,0.427,129,49,0.5617,0.4332
ingv,EEC1,vec,sim1,template4,0.2225,0.2444,75,23,0.3803,0.2425
ingv,EEC1,vec,sim2,template1,0.3803,0.408,182,125,0.6322,0.4611
ingv,EEC1,vec,sim2,template2,0.392,0.4164,57,30,0.4935,0.4261
ingv,EEC1,vec,sim2,template3,0.374,0.4029,58,19,0.4704,0.4007
ingv,EEC1,vec,sim2,template4,0.2155,0.2339,144,56,0.2869,0.2341
ingv,EEC1,vec,sim3,template1,0.3775,0.402,158,105,0.5433,0.4279
ingv,EEC1,vec,sim3,template2,0.3536,0.3697,199,151,0.5553,0.4005
ingv,EEC1,vec,sim3,template3,0.3501,0.3786,245,146,0.5756,0.4053
ingv,EEC1,vec,sim3,template4,0.2111,0.2354,256,117,0.3758,0.2401
ingv,EEC1,vec,sim4,template1,0.3726,0.403,192,121,0.6564,0.4595
ingv,EEC1,vec,sim4,template2,0.3479,0.3722,221,134,0.5388,0.3911
ingv,EEC1,vec,sim4,template3,0.346,0.3716,197,124,0.5384,0.3984
ingv,EEC1,vec,sim4,template4,0.1936,0.2117,355,211,0.3485,0.2305
experiment,EC1,dir,sim1,template1,0.4772,0.506,1,0,0.4879,0.4879
experiment,EC1,dir,sim1,template2,0.4768,0.5151,2,0,0.5066,0.5038
experiment,EC1,dir,sim1,template3,0.4898,0.5361,4,0,0.5235,0.5123
experiment,EC1,dir,sim1,template4,0.282,0.2977,5,2,0.3142,0.2969
experiment,EC1,dir,sim2,template1,0.4889,0.514,14,11,0.6416,0.5385
experiment,EC1,dir,sim2,template2,0.4812,0.5197,5,0,0.5171,0.5047
experiment,EC1,dir,sim2,template3,0.5343,0.5732,1,0,0.542,0.542
experiment,EC1,dir,sim2,template4,0.3124,0.3372,7,1,0.3604,0.3263
experiment,EC1,dir,sim3,template1,0.5022,0.5331,6,2,0.5674,0.5277
experiment,EC1,dir,sim3,template2,0.5048,0.5343,4,2,0.5536,0.5321
experiment,EC1,dir,sim3,template3,0.528,0.563,1,0,0.5437,0.5437
experiment,EC1,dir,sim3,template4,0.2879,0.3212,8,3,0.3654,0.3182
experiment,EC1,dir,sim4,template1,0.5276,0.5515,8,5,0.5995,0.5644
experiment,EC1,dir,sim4,template2,0.5081,0.5453,2,1,0.5658,0.5432
experiment,EC1,dir,sim4,template3,0.5566,0.5938,1,0,0.5717,0.5717
experiment,EC1,dir,sim4,template4,0.2857,0.311,11,7,0.3692,0.3231
experiment,EC1,dir2,sim1,template1,0.496,0.5302,3,1,0.5687,0.5298
experiment,EC1,dir2,sim1,template2,0.5387,0.5974,0,0,,
experiment,EC1,dir2,sim1,template3,0.5347,0.597,4,0,0.583,0.5748
experiment,EC1,dir2,sim1,template4,0.3095,0.3306,0,0,,
experiment,EC1,dir2,sim2,template1,0.5075,0.5419,14,6,0.6035,0.5465
experiment,EC1,dir2,sim2,template2,0.5257,0.5668,6,2,0.5994,0.5577
experiment,EC1,dir2,sim2,template3,0.534,0.5727,1,0,0.5449,0.5449
experiment,EC1,dir2,sim2,template4,0.2945,0.3126,7,4,0.3535,0.3204
experiment,EC1,dir2,sim3,template1,0.4991,0.5567,6,1,0.6169,0.5328
experiment,EC1,dir2,sim3,template2,0.6091,0.6306,0,0,,
experiment,EC1,dir2,sim3,template3,0.6247,0.6519,1,1,0.6617,0.6617
experiment,EC1,dir2,sim3,template4,0.3645,0.3975,3,1,0.4228,0.3857
experiment,EC1,dir2,sim4,template1,0.5903,0.6292,4,1,0.7519,0.6443
experiment,EC1,dir2,sim4,template2,0.6238,0.651,3,2,0.6937,0.6613
experiment,EC1,dir2,sim4,template3,0.6353,0.6812,2,1,0.6901,0.6765
experiment,EC1,dir2,sim4,template4,0.3827,0.401,5,3,0.4561,0.4196
experiment,EC1,mag,sim1,template1,0.4807,0.5016,0,0,,
experiment,EC1,mag,sim1,template2,0.5017,0.5206,2,1,0.5334,0.5216
