dataset,family,label,param,ff
ingv,warp,sim4/template1 x1.0,1.0,0.9942246769783192
ingv,warp,sim4/template1 x1.2,1.2,0.7832326133150994
ingv,warp,sim4/template1 x1.5,1.5,0.7790607200155499
ingv,warp,sim4/template1 x2.0,2.0,0.6244272727948992
ingv,warp,sim4/template2 x0.5,0.5,0.8423353665288071
ingv,warp,sim4/template2 x0.7,0.7,0.7983121939840623
ingv,warp,sim4/template2 x0.85,0.85,0.9172195932200655
ingv,warp,sim4/template2 x1.0,1.0,0.9979024725273838
ingv,warp,sim4/template2 x1.2,1.2,0.9010392350929061
ingv,warp,sim4/template2 x1.5,1.5,0.3603396842029171
ingv,warp,sim4/template2 x2.0,2.0,0.7190676059665112
ingv,warp,sim4/template3 x0.5,0.5,0.7912561185939087
ingv,warp,sim4/template3 x0.7,0.7,0.8975368137528642
ingv,warp,sim4/template3 x0.85,0.85,0.9386872317330486
ingv,warp,sim4/template3 x1.0,1.0,0.9988492991082973
ingv,warp,sim4/template3 x1.2,1.2,0.3373135231363301
ingv,warp,sim4/template3 x1.5,1.5,0.3478526725935736
ingv,warp,sim4/template3 x2.0,2.0,0.8668090309915681
ingv,warp,sim4/template4 x0.5,0.5,0.5154740835783359
ingv,warp,sim4/template4 x0.7,0.7,0.8384045703155971
ingv,warp,sim4/template4 x0.85,0.85,0.9439991912462407
ingv,warp,sim4/template4 x1.0,1.0,0.9985022045183944
ingv,warp,sim4/template4 x1.2,1.2,0.8753182443907983
ingv,warp,sim4/template4 x1.5,1.5,0.6926676889171925
ingv,warp,sim4/template4 x2.0,2.0,0.8665658478580052
ingv,step,step τ=200,200.0,0.3992487379635769
ingv,gauss,gauss τ=200,200.0,0.36014669051331966
ingv,ramp,ramp τ=200,200.0,0.4234151504089592
ingv,dgauss,dgauss τ=200,200.0,0.4656031025715429
ingv,step,step τ=500,500.0,0.07624347881577351
ingv,gauss,gauss τ=500,500.0,0.12730791671932656
ingv,ramp,ramp τ=500,500.0,0.6218087834939056
ingv,dgauss,dgauss τ=500,500.0,0.10726927049763377
ingv,step,step τ=1000,1000.0,0.35165448960586687
ingv,gauss,gauss τ=1000,1000.0,0.3552988367557574
ingv,ramp,ramp τ=1000,1000.0,0.47990631884781204
ingv,dgauss,dgauss τ=1000,1000.0,0.363655943761763
ingv,step,step τ=2000,2000.0,0.38879869696050534
ingv,gauss,gauss τ=2000,2000.0,0.3920712676900687
ingv,ramp,ramp τ=2000,2000.0,0.3947860329699206
ingv,dgauss,dgauss τ=2000,2000.0,0.3779223220133421
experiment,warp,sim1/template1 x0.5,0.5,0.7760274889246729
experiment,warp,sim1/template1 x0.7,0.7,0.7213367257742946
experiment,warp,sim1/template1 x0.85,0.85,0.6100903686570059
experiment,warp,sim1/template1 x1.0,1.0,0.9549213536157771
experiment,warp,sim1/template1 x1.2,1.2,0.5709837513269048
experiment,warp,sim1/template1 x1.5,1.5,0.5007092538348759
experiment,warp,sim1/template1 x2.0,2.0,0.5663579186766601
experiment,warp,sim1/template2 x0.5,0.5,0.7432379148332301
experiment,warp,sim1/template2 x0.7,0.7,0.6326846420856779
experiment,warp,sim1/template2 x0.85,0.85,0.6218780164391307
experiment,warp,sim1/template2 x1.0,1.0,0.9511015798017275
experiment,warp,sim1/template2 x1.2,1.2,0.623206843151663
experiment,warp,sim1/template2 x1.5,1.5,0.5657037156583764
experiment,warp,sim1/template2 x2.0,2.0,0.6613351612581646
experiment,warp,sim1/template3 x0.5,0.5,0.7844733078134275
experiment,warp,sim1/template3 x0.7,0.7,0.8218532718847186
experiment,warp,sim1/template3 x0.85,0.85,0.7944247571885003
experiment,warp,sim1/template3 x1.0,1.0,0.9570845118899078
experiment,warp,sim1/template3 x1.2,1.2,0.7637529968500727
experiment,warp,sim1/template3 x1.5,1.5,0.7072687463242755
experiment,warp,sim1/template3 x2.0,2.0,0.6516443846170831
experiment,warp,sim1/template4 x0.5,0.5,0.6045050345468193
experiment,warp,sim1/template4 x0.7,0.7,0.6187009105461972
experiment,warp,sim1/template4 x0.85,0.85,0.5190108881064692
experiment,warp,sim1/template4 x1.0,1.0,0.956142405011314
experiment,warp,sim1/template4 x1.2,1.2,0.570602241030164
experiment,warp,sim1/template4 x1.5,1.5,0.50087283066326
experiment,warp,sim1/template4 x2.0,2.0,0.5914775334897133
experiment,warp,sim2/template1 x0.5,0.5,0.8105995596563703
experiment,warp,sim2/template1 x0.7,0.7,0.8357610718392257
experiment,warp,sim2/template1 x0.85,0.85,0.8264273188222319
experiment,warp,sim2/template1 x1.0,1.0,0.9605495496227695
experiment,warp,sim2/template1 x1.2,1.2,0.8374713330069097
experiment,warp,sim2/template1 x1.5,1.5,0.8049980059557384
experiment,warp,sim2/template1 x2.0,2.0,0.791372581633217
experiment,warp,sim2/template2 x0.5,0.5,0.7376620451916174
experiment,warp,sim2/template2 x0.7,0.7,0.7160421888653082
experiment,warp,sim2/template2 x0.85,0.85,0.7639688304803792
experiment,warp,sim2/template2 x1.0,1.0,0.9569823621641236
experiment,warp,sim2/template2 x1.2,1.2,0.7376825114145582
experiment,warp,sim2/template2 x1.5,1.5,0.6585419326564516
experiment,warp,sim2/template2 x2.0,2.0,0.6806417630965965
experiment,warp,sim2/template3 x0.5,0.5,0.7696784676640861
experiment,warp,sim2/template3 x0.7,0.7,0.732060910433097
experiment,warp,sim2/template3 x0.85,0.85,0.734250407332901
experiment,warp,sim2/template3 x1.0,1.0,0.9388807339201635
experiment,warp,sim2/template3 x1.2,1.2,0.7549002607357973
experiment,warp,sim2/template3 x1.5,1.5,0.6207820712731671
experiment,warp,sim2/template3 x2.0,2.0,0.6587993567767063
experiment,warp,sim2/template4 x0.5,0.5,0.7055243718646623
experiment,warp,sim2/template4 x0.7,0.7,0.7909150239091638
experiment,warp,sim2/template4 x0.85,0.85,0.8074671985520349
experiment,warp,sim2/template4 x1.0,1.0,0.9594084190912782
experiment,warp,sim2/template4 x1.2,1.2,0.8357572337564522
experiment,warp,sim2/template4 x1.5,1.5,0.8017521858729372
experiment,warp,sim2/template4 x2.0,2.0,0.7886483303758058
experiment,warp,sim3/template1 x0.5,0.5,0.8335065816538553
experiment,warp,sim3/template1 x0.7,0.7,0.8485034832527345
experiment,warp,sim3/template1 x0.85,0.85,0.8626746196799249
experiment,warp,sim3/template1 x1.0,1.0,0.9626668481983347
experiment,warp,sim3/template1 x1.2,1.2,0.8409776715368001
experiment,warp,sim3/template1 x1.5,1.5,0.8170273383171834
experiment,warp,sim3/template1 x2.0,2.0,0.8086987405822891
experiment,warp,sim3/template2 x0.5,0.5,0.5495335859504519
experiment,warp,sim3/template2 x0.7,0.7,0.4766419645589892
experiment,warp,sim3/template2 x0.85,0.85,0.7656060380894164
experiment,warp,sim3/template2 x1.0,1.0,0.9893845817389351
experiment,warp,sim3/template2 x1.2,1.2,0.6689415586129002
experiment,warp,sim3/template2 x1.5,1.5,0.5333957537615504
experiment,warp,sim3/template2 x2.0,2.0,0.6307750798179526
experiment,warp,sim3/template3 x0.5,0.5,0.5675159779463961
experiment,warp,sim3/template3 x0.7,0.7,0.6217233809571011
experiment,warp,sim3/template3 x0.85,0.85,0.6828551246326943
experiment,warp,sim3/template3 x1.0,1.0,0.9961911060710632
experiment,warp,sim3/template3 x1.2,1.2,0.6323554991164768
experiment,warp,sim3/template3 x1.5,1.5,0.6306088901274514
experiment,warp,sim3/template3 x2.0,2.0,0.7728028893532416
experiment,warp,sim3/template4 x0.5,0.5,0.5334310196293246
experiment,warp,sim3/template4 x0.7,0.7,0.7068291425356318
experiment,warp,sim3/template4 x0.85,0.85,0.793104080165198
experiment,warp,sim3/template4 x1.0,1.0,0.9886127271293254
experiment,warp,sim3/template4 x1.2,1.2,0.8347884035357817
experiment,warp,sim3/template4 x1.5,1.5,0.8137901428565201
experiment,warp,sim3/template4 x2.0,2.0,0.8051942306772021
experiment,warp,sim4/template1 x0.5,0.5,0.7973240291448237
experiment,warp,sim4/template1 x0.7,0.7,0.7532581065750882
experiment,warp,sim4/template1 x0.85,0.85,0.7335691010874285
experiment,warp,sim4/template1 x1.0,1.0,0.9686299343025475
experiment,warp,sim4/template1 x1.2,1.2,0.7949745440213324
experiment,warp,sim4/template1 x1.5,1.5,0.7928294089514547
experiment,warp,sim4/template1 x2.0,2.0,0.8274456741583709
experiment,warp,sim4/template2 x0.5,0.5,0.5706854182616162
experiment,warp,sim4/template2 x0.7,0.7,0.38137519213938603
experiment,warp,sim4/template2 x0.85,0.85,0.736492380876703
experiment,warp,sim4/template2 x1.0,1.0,0.9952273912347047
experiment,warp,sim4/template2 x1.2,1.2,0.8998907223099183
experiment,warp,sim4/template2 x1.5,1.5,0.5358119542988959
experiment,warp,sim4/template2 x2.0,2.0,0.5328704961974429
experiment,warp,sim4/template3 x0.5,0.5,0.5301761758408935
experiment,warp,sim4/template3 x0.7,0.7,0.6651333054171257
experiment,warp,sim4/template3 x0.85,0.85,0.9176040631895976
experiment,warp,sim4/template3 x1.0,1.0,0.9984395171072583
experiment,warp,sim4/template3 x1.2,1.2,0.4778813143782202
experiment,warp,sim4/template3 x1.5,1.5,0.5694962343620897
experiment,warp,sim4/template3 x2.0,2.0,0.7168115683580144
experiment,warp,sim4/template4 x0.5,0.5,0.28697895931220496
experiment,warp,sim4/template4 x0.7,0.7,0.42670860736220373
experiment,warp,sim4/template4 x0.85,0.85,0.8179148572478863
experiment,warp,sim4/template4 x1.0,1.0,0.9958411660471524
experiment,warp,sim4/template4 x1.2,1.2,0.8680103056955285
experiment,warp,sim4/template4 x1.5,1.5,0.7894224825936376
experiment,warp,sim4/template4 x2.0,2.0,0.8249126165239117
experiment,step,step τ=200,200.0,0.36812873310212285
experiment,gauss,gauss τ=200,200.0,0.356526089391432
experiment,ramp,ramp τ=200,200.0,0.38023843815815095
experiment,dgauss,dgauss τ=200,200.0,0.44620993637557776
experiment,step,step τ=500,500.0,0.11773656839654134
experiment,gauss,gauss τ=500,500.0,0.20804047747885074
experiment,ramp,ramp τ=500,500.0,0.5946680367513504
experiment,dgauss,dgauss τ=500,500.0,0.2236320344036935
experiment,step,step τ=1000,1000.0,0.671177758083103
experiment,gauss,gauss τ=1000,1000.0,0.6158678983091014
experiment,ramp,ramp τ=1000,1000.0,0.37519747848554097
experiment,dgauss,dgauss τ=1000,1000.0,0.5625116960919991
experiment,step,step τ=2000,2000.0,0.5050837484916101
experiment,gauss,gauss τ=2000,2000.0,0.45054006149377385
experiment,ramp,ramp τ=2000,2000.0,0.4180341851199579
experiment,dgauss,dgauss τ=2000,2000.0,0.24525000480154097
