dataset,station,sim,template,floor_signif,obs_detect,exp_detect,enrich_detect,p_detect,obs_signif,exp_signif,enrich_signif,p_signif
experiment,EMAS,sim2,template2,0.6107,11,11.9,0.92,0.998,6,5.9,1.01,0.9433
experiment,EMAS,sim2,template3,0.5244,3,4.0,0.75,1.0,1,0.0,,0.0
experiment,EMAS,sim2,template4,0.3623,17,19.6,0.87,0.9982,12,15.6,0.77,1.0
experiment,EMAS,sim3,template1,0.6149,11,11.9,0.92,0.9995,8,10.0,0.8,1.0
experiment,EMAS,sim3,template2,0.5645,5,4.0,1.26,0.0,2,2.0,1.01,0.9898
experiment,EMAS,sim3,template3,0.6109,5,7.9,0.63,1.0,2,4.0,0.5,1.0
experiment,EMAS,sim3,template4,0.3562,14,17.6,0.79,1.0,8,13.7,0.58,1.0
experiment,EMAS,sim4,template1,0.6156,10,9.9,1.01,0.918,8,7.9,1.01,0.9223
experiment,EMAS,sim4,template2,0.549,6,7.9,0.76,0.9992,3,2.0,1.52,0.0
experiment,EMAS,sim4,template3,0.6461,1,2.0,0.5,1.0,0,0.0,,1.0
experiment,EMAS,sim4,template4,0.3399,18,23.4,0.77,0.9995,9,11.7,0.77,0.9992
ingv,ECPN,sim1,template1,0.532,26,29.8,0.87,1.0,7,14.9,0.47,1.0
ingv,ECPN,sim1,template2,0.5487,26,0.0,,0.0,4,0.0,,0.0
ingv,ECPN,sim1,template3,0.5813,30,14.8,2.02,0.0,6,0.0,,0.0
ingv,ECPN,sim1,template4,0.304,50,43.2,1.16,0.0,9,0.0,,0.0
ingv,ECPN,sim2,template1,0.5733,42,0.0,,0.0,17,0.0,,0.0
ingv,ECPN,sim2,template2,0.5651,31,15.0,2.07,0.0,8,0.0,,0.0
ingv,ECPN,sim2,template3,0.5279,62,29.9,2.07,0.0,32,14.9,2.14,0.0
ingv,ECPN,sim2,template4,0.3396,75,59.4,1.26,0.0,18,0.0,,0.0
ingv,ECPN,sim3,template1,0.6239,18,0.0,,0.0,5,0.0,,0.0
ingv,ECPN,sim3,template2,0.6584,14,0.0,,0.0,5,0.0,,0.0
ingv,ECPN,sim3,template3,0.664,15,14.9,1.01,0.9265,2,0.0,,0.0
ingv,ECPN,sim3,template4,0.4383,9,0.0,,0.0,3,0.0,,0.0
ingv,ECPN,sim4,template1,0.5988,57,29.9,1.91,0.0,24,15.0,1.6,0.0
ingv,ECPN,sim4,template2,0.6505,11,15.0,0.73,1.0,1,0.0,,0.0
ingv,ECPN,sim4,template3,0.5705,108,44.6,2.42,0.0,43,14.8,2.9,0.0
ingv,ECPN,sim4,template4,0.3965,19,0.0,,0.0,6,0.0,,0.0
ingv,EEC1,sim1,template1,0.4761,70,83.6,0.84,1.0,33,55.7,0.59,1.0
ingv,EEC1,sim1,template2,0.4816,58,55.6,1.04,0.0,20,27.9,0.72,1.0
ingv,EEC1,sim1,template3,0.5391,100,83.6,1.2,0.0,41,0.0,,0.0
ingv,EEC1,sim1,template4,0.3051,39,27.5,1.42,0.0,12,0.0,,0.0
