dataset,station,sim,template,floor_detect,floor_signif,n_detect,n_signif,n_between,max_r,mean_r
experiment,ECOR,sim1,template1,0.4843,0.5215,1,1,0,0.525,0.525
experiment,ECOR,sim1,template2,0.4596,0.4997,2,0,2,0.492,0.483
experiment,ECOR,sim1,template3,0.5828,0.6191,3,0,3,0.612,0.602
experiment,ECOR,sim1,template4,0.2523,0.2774,2,1,1,0.291,0.274
experiment,ECOR,sim2,template1,0.5479,0.6019,10,4,6,0.718,0.602
experiment,ECOR,sim2,template2,0.4958,0.5467,1,0,1,0.51,0.51
experiment,ECOR,sim2,template3,0.4996,0.5371,0,0,0,0.0,0.0
experiment,ECOR,sim2,template4,0.2856,0.3051,1,1,0,0.317,0.317
experiment,ECOR,sim3,template1,0.5096,0.5687,9,3,6,0.672,0.573
experiment,ECOR,sim3,template2,0.5074,0.5566,6,2,4,0.63,0.552
experiment,ECOR,sim3,template3,0.5339,0.5572,2,1,1,0.585,0.568
experiment,ECOR,sim3,template4,0.2795,0.2989,9,6,3,0.383,0.318
experiment,ECOR,sim4,template1,0.5336,0.569,4,3,1,0.663,0.596
experiment,ECOR,sim4,template2,0.5137,0.5603,4,2,2,0.649,0.575
experiment,ECOR,sim4,template3,0.5303,0.5731,3,1,2,0.582,0.557
experiment,ECOR,sim4,template4,0.3013,0.3241,5,5,0,0.368,0.346
experiment,EMAS,sim2,template1,0.5378,0.5695,10,8,2,0.731,0.656
experiment,EMAS,sim2,template2,0.4423,0.4818,14,6,8,0.545,0.489
experiment,EMAS,sim2,template3,0.4526,0.4731,8,6,2,0.521,0.495
experiment,EMAS,sim2,template4,0.2546,0.2682,11,9,2,0.308,0.285
experiment,EMAS,sim3,template1,0.5084,0.5477,15,9,6,0.736,0.617
experiment,EMAS,sim3,template2,0.5563,0.6076,2,0,2,0.57,0.567
experiment,EMAS,sim3,template3,0.5949,0.6415,3,0,3,0.616,0.611
experiment,EMAS,sim3,template4,0.3362,0.3573,5,4,1,0.425,0.383
experiment,EMAS,sim4,template1,0.5455,0.5815,10,8,2,0.679,0.609
experiment,EMAS,sim4,template2,0.532,0.5873,1,0,1,0.57,0.57
experiment,EMAS,sim4,template3,0.5917,0.6171,1,0,1,0.599,0.599
experiment,EMAS,sim4,template4,0.3334,0.3654,6,1,5,0.392,0.362
