time_seconds,x
0.0,-3.7740000681658926e-07
1.0,-4.0464245054313997e-07
2.0,-4.3199299496042535e-07
3.0,-4.594240907302427e-07
4.0,-4.869082261364984e-07
5.0,-5.144179979790663e-07
6.0,-5.419261812977453e-07
7.0,-5.69405797625553e-07
8.0,-5.968301814834015e-07
9.0,-6.241730448428291e-07
10.0,-6.514085392994144e-07
11.0,-6.78511315717206e-07
12.0,-7.054565811247579e-07
13.0,-7.322201526660698e-07
14.0,-7.587785084337243e-07
15.0,-7.851088350355902e-07
16.0,-8.11189071770388e-07
17.0,-8.369979513119415e-07
18.0,-8.625150368275847e-07
19.0,-8.87720755482314e-07
20.0,-9.125964283049833e-07
21.0,-9.371242964141041e-07
22.0,-9.612875436175559e-07
23.0,-9.850703154129553e-07
24.0,-1.008457734424561e-06
25.0,-1.0314359123194316e-06
26.0,-1.0539919582507413e-06
27.0,-1.0761139838798607e-06
28.0,-1.097791105031282e-06
29.0,-1.1190134400371666e-06
30.0,-1.1397721048335995e-06
31.0,-1.1600592048796235e-06
32.0,-1.1798678239811924e-06
33.0,-1.1991920101126043e-06
34.0,-1.218026758336853e-06
35.0,-1.2363679909351011e-06
36.0,-1.2542125348659086e-06
37.0,-1.2715580966867672e-06
38.0,-1.2884032350821457e-06
39.0,-1.3047473311526142e-06
40.0,-1.3205905566291764e-06
41.0,-1.335933840186192e-06
42.0,-1.3507788320349294e-06
43.0,-1.36512786698763e-06
44.0,-1.3789839261891615e-06
45.0,-1.3923505977194425e-06
46.0,-1.405232036273422e-06
47.0,-1.41763292212534e-06
48.0,-1.4295584195798293e-06
49.0,-1.4410141351044357e-06
50.0,-1.4520060753269934e-06
51.0,-1.4625406050676256e-06
52.0,-1.472624405559267e-06
53.0,-1.4822644329929868e-06
54.0,-1.4914678775062045e-06
55.0,-1.5002421227144714e-06
56.0,-1.5085947058723237e-06
57.0,-1.5165332787372423e-06
58.0,-1.5240655692039682e-06
59.0,-1.5311993437742227e-06
60.0,-1.5379423709277697e-06
61.0,-1.544302385462772e-06
62.0,-1.5502870538755754e-06
63.0,-1.5559039408528954e-06
64.0,-1.5611604769534217e-06
65.0,-1.5660639275603363e-06
66.0,-1.5706213631900627e-06
67.0,-1.5748396312456836e-06
68.0,-1.5787253293066034e-06
69.0,-1.5822847800488451e-06
70.0,-1.5855240078909076e-06
71.0,-1.5884487174569363e-06
72.0,-1.5910642739424711e-06
73.0,-1.5933756854590095e-06
74.0,-1.5953875874222345e-06
75.0,-1.5971042290355647e-06
76.0,-1.5985294619069777e-06
77.0,-1.5996667308240537e-06
78.0,-1.6005190667003255e-06
79.0,-1.601089081695445e-06
80.0,-1.6013789665021762e-06
81.0,-1.6013904897839291e-06
82.0,-1.601124999735995e-06
83.0,-1.6005834277307384e-06
84.0,-1.5997662939926186e-06
85.0,-1.598673715235442e-06
86.0,-1.5973054141832891e-06
87.0,-1.5956607308877378e-06
88.0,-1.5937386357471963e-06
89.0,-1.5915377441304596e-06
90.0,-1.5890563325064748e-06
91.0,-1.586292355984741e-06
92.0,-1.5832434671743558e-06
93.0,-1.5799070362734858e-06
94.0,-1.576280172303951e-06
95.0,-1.5723597454067018e-06
96.0,-1.5681424101130458e-06
97.0,-1.563624629503828e-06
98.0,-1.5588027001644704e-06
99.0,-1.5536727778377883e-06
100.0,-1.5482309036694654e-06
101.0,-1.5424730309341374e-06
102.0,-1.536395052124381e-06
103.0,-1.529992826281255e-06
104.0,-1.5232622064432007e-06
105.0,-1.5161990670890715e-06
106.0,-1.5087993314497123e-06
107.0,-1.5010589985608042e-06
108.0,-1.4929741699285833e-06
109.0,-1.4845410756796935e-06
110.0,-1.4757561000657271e-06
111.0,-1.466615806191684e-06
112.0,-1.4571169598377804e-06
113.0,-1.4472565522483139e-06
114.0,-1.4370318217700079e-06
115.0,-1.4264402742340388e-06
116.0,-1.4154797019893281e-06
117.0,-1.4041482015083156e-06
118.0,-1.3924441894989199e-06
119.0,-1.3803664174668303e-06
120.0,-1.3679139846811504e-06
121.0,-1.3550863495053126e-06
122.0,-1.3418833390656205e-06
123.0,-1.328305157242204e-06
124.0,-1.3143523909805988e-06
125.0,-1.3000260149347449e-06
126.0,-1.28532739446284e-06
127.0,-1.2702582870062163e-06
128.0,-1.2548208418885144e-06
129.0,-1.2390175985778868e-06
130.0,-1.222851483459017e-06
131.0,-1.2063258051651648e-06
132.0,-1.1894442485236237e-06
133.0,-1.1722108671706357e-06
134.0,-1.1546300748933101e-06
135.0,-1.1367066357567376e-06
136.0,-1.1184456530755842e-06
137.0,-1.0998525572924555e-06
138.0,-1.0809330928307105e-06
139.0,-1.0616933039963398e-06
140.0,-1.0421395200106103e-06
141.0,-1.0222783392614615e-06
142.0,-1.002116612867187e-06
143.0,-9.81661427651678e-07
144.0,-9.609200886366245e-07
145.0,-9.399001011613956e-07
146.0,-9.186091527442641e-07
147.0,-8.970550947990078e-07
148.0,-8.752459243199568e-07
149.0,-8.531897656473183e-07
150.0,-8.3089485242255e-07
151.0,-8.08369509839173e-07
152.0,-7.856221372869616e-07
153.0,-7.626611914776653e-07
154.0,-7.394951701294959e-07
155.0,-7.161325962765313e-07
156.0,-6.92582003258283e-07
157.0,-6.68851920433687e-07
158.0,-6.449508596523605e-07
159.0,-6.208873025044069e-07
160.0,-5.96669688359479e-07
161.0,-5.723064031972492e-07
162.0,-5.478057692250873e-07
163.0,-5.231760352741082e-07
164.0,-4.984253679611649e-07
165.0,-4.7356184360157506e-07
166.0,-4.4859344085548544e-07
167.0,-4.2352803408973816e-07
168.0,-3.9837338743658724e-07
169.0,-3.7313714953013214e-07
170.0,-3.478268489006606e-07
171.0,-3.2244989000650013e-07
172.0,-2.970135498830199e-07
173.0,-2.715249753897594e-07
174.0,-2.4599118103966046e-07
175.0,-2.2041904739861e-07
176.0,-1.948153200474636e-07
177.0,-1.6918660910135493e-07
178.0,-1.4353938928253677e-07
179.0,-1.1788000054386063e-07
180.0,-9.221464924005108e-08
181.0,-6.654940984238951e-08
182.0,-4.0890227188965236e-08
183.0,-1.5242919258029976e-08
184.0,1.0386819552615496e-08
185.0,3.599341466122821e-08
186.0,6.157140707756864e-08
187.0,8.711544874819776e-08
188.0,1.1262029750893946e-07
189.0,1.380808116901266e-07
190.0,1.6349194442712124e-07
191.0,1.8884873773244927e-07
192.0,2.1414631638658602e-07
193.0,2.3937988170283004e-07
194.0,2.6454470521894746e-07
195.0,2.8963612236511356e-07
196.0,3.1464952615411844e-07
197.0,3.395803609358288e-07
198.0,3.644241162541479e-07
199.0,3.891763208417417e-07
200.0,4.1383253678514187e-07
201.0,4.383883538896474e-07
202.0,4.6283938427005387e-07
203.0,4.871812571909223e-07
204.0,5.114096141793983e-07
205.0,5.355201044337624e-07
206.0,5.595083805513074e-07
207.0,5.833700945998583e-07
208.0,6.071008945581094e-07
209.0,6.306964211501544e-07
210.0,6.541523050987985e-07
211.0,6.774641648211162e-07
212.0,7.006276045890219e-07
213.0,7.236382131772979e-07
214.0,7.464915630208616e-07
215.0,7.691832099014902e-07
216.0,7.917086931815598e-07
217.0,8.140635365987954e-07
218.0,8.362432496315666e-07
219.0,8.582433294386553e-07
220.0,8.800592633706818e-07
221.0,9.016865320431099e-07
222.0,9.231206129537698e-07
223.0,9.443569846213313e-07
224.0,9.653911312148431e-07
225.0,9.86218547638537e-07
226.0,1.0068347450314577e-06
227.0,1.027235256638981e-06
228.0,1.0474156440127973e-06
229.0,1.0673715034963338e-06
230.0,1.0870984729525657e-06
231.0,1.1065922386901876e-06
232.0,1.1258485425423558e-06
233.0,1.144863189050108e-06
234.0,1.163632052700621e-06
235.0,1.1821510851692465e-06
236.0,1.2004163225139073e-06
237.0,1.218423892270934e-06
238.0,1.2361700204030356e-06
239.0,1.2536510380530239e-06
240.0,1.2708633880604713e-06
241.0,1.2878036312013735e-06
242.0,1.3044684521125127e-06
243.0,1.3208546648629432e-06
244.0,1.3369592181356372e-06
245.0,1.3527791999831736e-06
246.0,1.3683118421226208e-06
247.0,1.3835545237366464e-06
248.0,1.398504774750556e-06
249.0,1.4131602785585248e-06
250.0,1.4275188741770068e-06
251.0,1.44157855780926e-06
252.0,1.4553374838115054e-06
253.0,1.4687939650575104e-06
254.0,1.4819464727036165e-06
255.0,1.4947936353599887e-06
256.0,1.507334237676303e-06
257.0,1.5195672183517244e-06
258.0,1.5314916675803826e-06
259.0,1.5431068239447231e-06
260.0,1.5544120707702706e-06
261.0,1.5654069319570817e-06
262.0,1.5760910673060041e-06
263.0,1.5864642673616882e-06
264.0,1.5965264477983385e-06
265.0,1.6062776433775815e-06
266.0,1.615718001510149e-06
267.0,1.6248477754546482e-06
268.0,1.6336673171880513e-06
269.0,1.6421770699840645e-06
270.0,1.6503775607372516e-06
271.0,1.6582693920722619e-06
272.0,1.665853234277946e-06
273.0,1.6731298171052178e-06
274.0,1.6800999214657542e-06
275.0,1.686764371067114e-06
276.0,1.6931240240193084e-06
277.0,1.6991797644482084e-06
278.0,1.7049324941520012e-06
279.0,1.7103831243375146e-06
280.0,1.7155325674729324e-06
281.0,1.7203817292922458e-06
282.0,1.7249315009854584e-06
283.0,1.7291827516075967e-06
284.0,1.7331363207390075e-06
285.0,1.7367930114290012e-06
286.0,1.7401535834545636e-06
287.0,1.7432187469253563e-06
288.0,1.7459891562650715e-06
289.0,1.7484654045969496e-06
290.0,1.7506480185579028e-06
291.0,1.7525374535619337e-06
292.0,1.7541340895300615e-06
293.0,1.7554382271010494e-06
294.0,1.7564500843346577e-06
295.0,1.7571697939166092e-06
296.0,1.7575974008716746e-06
297.0,1.7577328607882585e-06
298.0,1.7575760385546903e-06
299.0,1.757126707604522e-06
300.0,1.7563845496659165e-06
301.0,1.7553491550086303e-06
302.0,1.7540200231805164e-06
303.0,1.7523965642235735e-06
304.0,1.75047810035771e-06
305.0,1.7482638681193373e-06
306.0,1.7457530209415806e-06
307.0,1.7429446321628997e-06
308.0,1.739837698450798e-06
309.0,1.736431143627217e-06
310.0,1.7327238228820846e-06
311.0,1.7287145273611608e-06
312.0,1.7244019891136192e-06
313.0,1.7197848863839914e-06
314.0,1.7148618492323681e-06
315.0,1.7096314654663181e-06
316.0,1.7040922868678366e-06
317.0,1.6982428356986982e-06
318.0,1.692081611467645e-06
319.0,1.6856070979424845e-06
320.0,1.6788177703891278e-06
321.0,1.6717121030177493e-06
322.0,1.6642885766139743e-06
323.0,1.6565456863311122e-06
324.0,1.648481949618288e-06
325.0,1.6400959142583973e-06
326.0,1.6313861664886116e-06
327.0,1.6223513391750219e-06
328.0,1.6129901200127608e-06
329.0,1.6033012597237932e-06
330.0,1.5932835802260655e-06
331.0,1.582935982749166e-06
332.0,1.5722574558727884e-06
