time_seconds,x
0.0,1.1320588417786705e-07
1.0,1.1789280275235479e-07
2.0,1.2258078519743088e-07
3.0,1.2726227995800668e-07
4.0,1.3192969042176095e-07
5.0,1.3657539625867478e-07
6.0,1.4119177472827743e-07
7.0,1.4577122185616737e-07
8.0,1.5030617338405005e-07
9.0,1.5478912540064918e-07
10.0,1.592126545648924e-07
11.0,1.6356943783809325e-07
12.0,1.678522716479494e-07
13.0,1.7205409041323598e-07
14.0,1.7616798436360307e-07
15.0,1.8018721659363527e-07
16.0,1.8410523929426124e-07
17.0,1.8791570910811383e-07
18.0,1.9161250155945915e-07
19.0,1.9518972451492263e-07
20.0,1.986417306387086e-07
21.0,2.0196312881422994e-07
22.0,2.0514879451154593e-07
23.0,2.0819387908623177e-07
24.0,2.1109381800063408e-07
25.0,2.1384433796325272e-07
26.0,2.1644146298637694e-07
27.0,2.1888151936632427e-07
28.0,2.2116113959500375e-07
29.0,2.2327726521618904e-07
30.0,2.2522714864450728e-07
31.0,2.270083539691955e-07
32.0,2.2861875676802823e-07
33.0,2.300565429598375e-07
34.0,2.313202067270585e-07
35.0,2.3240854754273787e-07
36.0,2.33320666339253e-07
37.0,2.3405596085858068e-07
38.0,2.3461412022636177e-07
39.0,2.3499511879394624e-07
40.0,2.3519920929357797e-07
41.0,2.3522691535184222e-07
42.0,2.350790234059226e-07
43.0,2.3475657406655035e-07
44.0,2.3426085297100583e-07
45.0,2.3359338116929997e-07
46.0,2.3275590508689888e-07
47.0,2.3175038610835038e-07
48.0,2.305789898282547e-07
49.0,2.292440750191269e-07
50.0,2.2774818236896245e-07
51.0,2.260940230436213e-07
52.0,2.2428446713015455e-07
53.0,2.223225320172908e-07
54.0,2.2021137076859852e-07
55.0,2.179542605420979e-07
56.0,2.155545911074218e-07
57.0,2.1301585350855551e-07
58.0,2.103416289168568e-07
59.0,2.075355777151407e-07
60.0,2.046014288493324e-07
61.0,2.0154296948049666e-07
62.0,1.9836403496745055e-07
63.0,1.9506849920816514e-07
64.0,1.91660265366237e-07
65.0,1.8814325700702375e-07
66.0,1.8452140966682856e-07
67.0,1.8079866287743004e-07
68.0,1.769789526667493e-07
69.0,1.7306620455443462e-07
70.0,1.690643270588905e-07
71.0,1.6497720572986837e-07
72.0,1.6080869771808198e-07
