time_seconds,x
0.0,3.1526892693314397e-07
1.0,3.041552367881383e-07
2.0,2.9225777677213647e-07
3.0,2.7957693492875375e-07
4.0,2.661144532532161e-07
5.0,2.518734496729956e-07
6.0,2.3685843733021136e-07
7.0,2.2107534104210045e-07
8.0,2.0453151083443245e-07
9.0,1.8723573245356023e-07
10.0,1.6919823477498346e-07
11.0,1.5043069404301247e-07
12.0,1.309462348961366e-07
13.0,1.1075942815546539e-07
14.0,8.98862853750188e-08
15.0,6.834425016342034e-08
16.0,4.6152186282280415e-08
17.0,2.3330362513747612e-08
18.0,-9.956572055511704e-11
19.0,-2.4114578008472956e-08
20.0,-4.869031387797169e-08
21.0,-7.380110101371646e-08
22.0,-9.941998674505672e-08
23.0,-1.2551877275568102e-07
24.0,-1.5206805291634625e-07
25.0,-1.790372540939903e-07
26.0,-2.063946797576225e-07
27.0,-2.3410755618613755e-07
28.0,-2.6214208107581445e-07
29.0,-2.9046347433418337e-07
30.0,-3.190360308276044e-07
31.0,-3.478231748268594e-07
32.0,-3.7678751587987793e-07
33.0,-4.0589090584318894e-07
34.0,-4.3509449682167375e-07
35.0,-4.643587997873795e-07
36.0,-4.93643743662999e-07
37.0,-5.229087346661771e-07
38.0,-5.521127157243404e-07
39.0,-5.812142257862253e-07
40.0,-6.101714588679494e-07
41.0,-6.389423226740983e-07
42.0,-6.674844966327773e-07
43.0,-6.957554891870135e-07
44.0,-7.237126941981624e-07
45.0,-7.513134463358832e-07
46.0,-7.78515075345703e-07
47.0,-8.052749590967507e-07
48.0,-8.31550575319911e-07
49.0,-8.572995519477003e-07
50.0,-8.824797159603837e-07
51.0,-9.07049140635542e-07
52.0,-9.309661910966318e-07
53.0,-9.541895680576022e-07
54.0,-9.766783496625236e-07
55.0,-9.983920313220612e-07
56.0,-1.019290563449691e-06
57.0,-1.0393343869976654e-06
58.0,-1.0584844666939081e-06
59.0,-1.076702321895912e-06
60.0,-1.0939500550034786e-06
61.0,-1.110190377398601e-06
62.0,-1.1253866329062779e-06
63.0,-1.1395028188013706e-06
64.0,-1.152503604425051e-06
65.0,-1.1643543475085828e-06
66.0,-1.1750211083191238e-06
67.0,-1.184470661743655e-06
68.0,-1.1926705074294253e-06
69.0,-1.1995888781142724e-06
70.0,-1.2051947463025635e-06
71.0,-1.2094578294581597e-06
72.0,-1.21234859388376e-06
73.0,-1.2138382574351993e-06
74.0,-1.2138987911936494e-06
75.0,-1.2125029202109146e-06
76.0,-1.2096241234640355e-06
77.0,-1.2052366331911903e-06
78.0,-1.1993154338062319e-06
79.0,-1.191836260593033e-06
80.0,-1.1827755983718446e-06
81.0,-1.172110680321166e-06
82.0,-1.1598194871353126e-06
83.0,-1.1458807466990833e-06
84.0,-1.1302739344646316e-06
85.0,-1.1129792747188393e-06
86.0,-1.0939777429282742e-06
87.0,-1.0732510693413179e-06
88.0,-1.0507817440155096e-06
89.0,-1.026553023426696e-06
90.0,-1.0005489388075352e-06
91.0,-9.727543063553725e-07
92.0,-9.431547394413963e-07
93.0,-9.11736662944351e-07
94.0,-8.784873298255143e-07
95.0,-8.433948400582098e-07
96.0,-8.064481620222596e-07
97.0,-7.676371564681801e-07
98.0,-7.269526031468983e-07
99.0,-6.843862301896311e-07
100.0,-6.399307463103572e-07
101.0,-5.935798758900956e-07
102.0,-5.453283969871847e-07
103.0,-4.951721823000022e-07
104.0,-4.431082430887598e-07
105.0,-3.891347760440978e-07
106.0,-3.3325121307426743e-07
107.0,-2.75458273969071e-07
108.0,-2.1575802188631472e-07
109.0,-1.541539215955312e-07
110.0,-9.065090040418206e-08
111.0,-2.5255411682543257e-08
112.0,4.202449910543931e-08
113.0,1.1117912596675859e-07
114.0,1.821970316506546e-07
115.0,2.5506497475162834e-07
116.0,3.2976783478816543e-07
117.0,4.062885354225163e-07
118.0,4.846079660061697e-07
119.0,5.647049016510718e-07
120.0,6.465559220393388e-07
121.0,7.301353291962643e-07
122.0,8.154150644647334e-07
123.0,9.023646249353836e-07
124.0,9.909509796067277e-07
125.0,1.0811384855720724e-06
126.0,1.1728888045536695e-06
127.0,1.266160820127809e-06
128.0,1.3609105560067296e-06
129.0,1.457091095763623e-06
130.0,1.5546525044052845e-06
131.0,1.6535417522128034e-06
132.0,1.7537026412840135e-06
133.0,1.8550757352220637e-06
134.0,1.9575982924217947e-06
135.0,2.061204203408896e-06
136.0,2.1658239326870073e-06
137.0,2.2713844655471226e-06
138.0,2.37780926029305e-06
139.0,2.4850182063361697e-06
140.0,2.592927588611723e-06
141.0,2.701450058766809e-06
142.0,2.810494613566258e-06
143.0,2.919966580955897e-06
144.0,3.0297676142134237e-06
145.0,3.1397956946059647e-06
146.0,3.249945142961402e-06
147.0,3.3601066405481203e-06
148.0,3.4701672596450306e-06
149.0,3.580010504170065e-06
150.0,3.6895163607204956e-06
151.0,3.7985613603622154e-06
152.0,3.907018651487862e-06
153.0,4.014758084045737e-06
154.0,4.121646305422678e-06
155.0,4.227546868243834e-06
156.0,4.3323203503302034e-06
157.0,4.435824487030836e-06
158.0,4.5379143161205676e-06
159.0,4.638442335426179e-06
160.0,4.737258673313754e-06
161.0,4.834211272138097e-06
162.0,4.929146084720632e-06
163.0,5.021907283884809e-06
164.0,5.112337485038096e-06
165.0,5.200277981748369e-06
166.0,5.285568994221108e-06
167.0,5.368049930541941e-06
168.0,5.4475596605065595e-06
169.0,5.523936801815919e-06
170.0,5.5970200183681615e-06
171.0,5.666648330329039e-06
172.0,5.732661435610311e-06
173.0,5.794900042331987e-06
174.0,5.8532062117908636e-06
175.0,5.907423711405108e-06
176.0,5.957398377052448e-06
177.0,6.002978484167287e-06
178.0,6.044015126909585e-06
179.0,6.0803626046657236e-06
180.0,6.111878815088992e-06
181.0,6.13842565283517e-06
182.0,6.159869413096876e-06
183.0,6.176081198988677e-06
184.0,6.18693733178386e-06
185.0,6.192319762953357e-06
186.0,6.192116486907842e-06
187.0,6.186221953294896e-06
188.0,6.174537477654165e-06
189.0,6.1569716491855845e-06
190.0,6.133440734340128e-06
191.0,6.103869074899989e-06
192.0,6.068189479176272e-06
193.0,6.026343604917809e-06
194.0,5.9782823324952795e-06
195.0,5.923966126900242e-06
196.0,5.863365387078567e-06
197.0,5.796460781102354e-06
198.0,5.723243565675017e-06
199.0,5.643715888461505e-06
200.0,5.557891071739949e-06
201.0,5.46579387588198e-06
202.0,5.3674607411863545e-06
203.0,5.262940006613775e-06
204.0,5.1522921039999584e-06
205.0,5.035589726359604e-06
206.0,4.912917968936389e-06
207.0,4.78437444170304e-06
208.0,4.650069352070005e-06
209.0,4.510125556621089e-06
210.0,4.364678580760176e-06
211.0,4.2138766052255015e-06
212.0,4.057880418507245e-06
213.0,3.896863334290386e-06
214.0,3.7310110731376642e-06
215.0,3.5605216077277616e-06
216.0,3.3856049710718756e-06
217.0,3.2064830272476937e-06
218.0,3.023389204312046e-06
219.0,2.8365681891810374e-06
220.0,2.6462755843982566e-06
221.0,2.452777526847414e-06
222.0,2.2563502686055935e-06
223.0,2.0572797202774286e-06
224.0,1.855860957298986e-06
225.0,1.6523976898523934e-06
226.0,1.4472016971877686e-06
227.0,1.2405922273069856e-06
228.0,1.0328953631229626e-06
229.0,8.244433563672102e-07
230.0,6.155739306762571e-07
231.0,4.066295554439571e-07
232.0,1.9795669218141272e-07
233.0,-1.009498472103016e-08
234.0,-2.1717339078519218e-07
235.0,-4.229248555983075e-07
236.0,-6.269949659930834e-07
237.0,-8.290294257808216e-07
238.0,-1.0286749294309337e-06
239.0,-1.2255800469638248e-06
240.0,-1.4193961172050153e-06
241.0,-1.609778146437763e-06
242.0,-1.7963857093906639e-06
243.0,-1.978883849407525e-06
244.0,-2.1569439745711968e-06
245.0,-2.330244746492435e-06
246.0,-2.4984729584288136e-06
247.0,-2.6613243993660423e-06
248.0,-2.818504700674816e-06
249.0,-2.9697301619514663e-06
250.0,-3.1147285526605483e-06
251.0,-3.253239886222154e-06
252.0,-3.3850171632280262e-06
253.0,-3.5098270805313864e-06
254.0,-3.6274507030381156e-06
255.0,-3.737684095132168e-06
256.0,-3.840338908795077e-06
257.0,-3.935242925625535e-06
258.0,-4.022240550128639e-06
259.0,-4.101193251827759e-06
260.0,-4.171979953959885e-06
261.0,-4.234497366751216e-06
262.0,-4.288660263535122e-06
263.0,-4.334401698269179e-06
264.0,-4.371673163326846e-06
265.0,-4.400444686774756e-06
266.0,-4.420704868693234e-06
267.0,-4.43246085645305e-06
268.0,-4.435738259222739e-06
269.0,-4.430581002345673e-06
270.0,-4.417051122594263e-06
271.0,-4.395228505671789e-06
272.0,-4.365210567671858e-06
273.0,-4.3271118825056805e-06
274.0,-4.2810637575662366e-06
275.0,-4.2272137601231365e-06
276.0,-4.1657251971388825e-06
277.0,-4.09677655136843e-06
278.0,-4.020560876749636e-06
279.0,-3.937285156212909e-06
280.0,-3.847169625135444e-06
281.0,-3.750447063739453e-06
282.0,-3.647362061784032e-06
283.0,-3.5381702589278045e-06
284.0,-3.4231375641479235e-06
285.0,-3.302539357595549e-06
286.0,-3.1766596782504304e-06
287.0,-3.0457904007068795e-06
288.0,-2.910230404378561e-06
289.0,-2.770284738349146e-06
290.0,-2.62626378501988e-06
291.0,-2.478482425614277e-06
292.0,-2.327259210495704e-06
293.0,-2.1729155371370062e-06
294.0,-2.0157748384546422e-06
295.0,-1.8561617840856371e-06
296.0,-1.6944014970459853e-06
297.0,-1.5308187880653558e-06
298.0,-1.3657374097457155e-06
299.0,-1.199479332541714e-06
300.0,-1.0323640444084699e-06
301.0,-8.647078758073268e-07
302.0,-6.968233516019325e-07
303.0,-5.290185712169733e-07
304.0,-3.6159661827241196e-07
305.0,-1.948550007484279e-07
306.0,-2.9085122580221266e-08
307.0,1.3542821257297688e-07
308.0,2.984072647936012e-07
309.0,4.595817881657881e-07
310.0,6.186894275362967e-07
311.0,7.754760816246268e-07
312.0,9.296962324663211e-07
313.0,1.081113241302733e-06
314.0,1.2294996111534699e-06
315.0,1.3746372164243773e-06
316.0,1.5163175000144912e-06
317.0,1.6543416384899989e-06
318.0,1.7885206759920342e-06
319.0,1.918675627637886e-06
320.0,2.0446375532613495e-06
321.0,2.16624760241666e-06
322.0,2.28335703164118e-06
323.0,2.3958271950348025e-06
324.0,2.5035295092691088e-06
325.0,2.606345394187218e-06
326.0,2.7041661901965784e-06
327.0,2.796893053692047e-06
328.0,2.884436831775533e-06
329.0,2.9667179175615837e-06
330.0,3.043666087375859e-06
331.0,3.1152203211655888e-06
332.0,3.181328607447716e-06
333.0,3.2419477341220096e-06
334.0,3.297043066473435e-06
335.0,3.3465883136805687e-06
336.0,3.390565285133869e-06
337.0,3.4289636378480424e-06
338.0,3.4617806162264793e-06
339.0,3.489020785404085e-06
340.0,3.5106957593595427e-06
341.0,3.526823924950591e-06
342.0,3.5374301629871696e-06
343.0,3.5425455674176116e-06
344.0,3.542207163662e-06
345.0,3.536457627083439e-06
346.0,3.5253450025417923e-06
347.0,3.508922425926214e-06
348.0,3.4872478485138184e-06
349.0,3.460383764952662e-06
