dataset,station,sim,template,n_all,n_mod,n_high,max_r,mean_r
experiment,ECOR,sim3,template4,26,26,0,0.311,0.234
experiment,ECOR,sim4,template1,396,393,3,0.691,0.291
experiment,ECOR,sim4,template2,300,299,1,0.507,0.28
experiment,ECOR,sim4,template3,329,327,2,0.578,0.278
experiment,ECOR,sim4,template4,45,45,0,0.327,0.231
experiment,EMAS,sim1,template1,535,533,2,0.526,0.313
experiment,EMAS,sim1,template2,544,542,2,0.53,0.309
experiment,EMAS,sim1,template3,469,452,17,0.839,0.301
experiment,EMAS,sim1,template4,182,182,0,0.34,0.226
experiment,EMAS,sim2,template1,440,420,20,0.87,0.303
experiment,EMAS,sim2,template2,457,440,17,0.81,0.296
experiment,EMAS,sim2,template3,516,515,1,0.559,0.302
experiment,EMAS,sim2,template4,104,98,6,0.674,0.269
experiment,EMAS,sim3,template1,435,417,18,0.868,0.3
experiment,EMAS,sim3,template2,431,419,12,0.636,0.309
experiment,EMAS,sim3,template3,396,383,13,0.663,0.31
experiment,EMAS,sim3,template4,115,115,0,0.484,0.26
experiment,EMAS,sim4,template1,438,421,17,0.833,0.308
experiment,EMAS,sim4,template2,374,365,9,0.575,0.304
experiment,EMAS,sim4,template3,354,342,12,0.613,0.315
experiment,EMAS,sim4,template4,99,99,0,0.404,0.258
