dataset,station,covered,absR,oriented_ReR
ingv,ECPN,True,0.3793647134448853,0.37080233990670697
ingv,ECPN,True,0.36607347060530004,0.1528029818802901
ingv,ECPN,True,0.42826453004522447,-0.367307292173543
ingv,ECPN,True,0.4340181634409429,-0.41258536142501484
ingv,ECPN,True,0.39489047634584973,0.3946731514044178
ingv,ECPN,True,0.39932187938178304,-0.3990269491026703
ingv,ECPN,True,0.4303232113663807,0.2977857330874834
ingv,ECPN,True,0.571026462606371,0.44608105449506036
ingv,ECPN,True,0.38382414563941414,0.28447105614920337
ingv,ECPN,True,0.44896972674629837,0.3025918857722692
ingv,ECPN,True,0.4280224470315963,0.3316634667722613
ingv,ECPN,True,0.4679234956883242,-0.1846225890047584
ingv,ECPN,True,0.439709289646111,0.3079738086887778
ingv,ECPN,True,0.5292470491658432,0.5159818073359743
ingv,ECPN,True,0.4193360707295695,-0.3785017376672932
ingv,ECPN,True,0.49130337870224083,-0.2779310503349334
ingv,ECPN,True,0.3984601467765001,-0.3742422536482499
ingv,ECPN,True,0.3607282433201242,0.08738598569883568
ingv,ECPN,True,0.45632712956921784,0.1928437035950666
ingv,ECPN,True,0.4739461982436221,-0.4509380702967891
ingv,ECPN,True,0.35981816543097495,-0.10678919046339402
ingv,ECPN,True,0.4353184353126141,0.3825097568388973
ingv,ECPN,True,0.40618021820379235,-0.3429093213026345
ingv,ECPN,True,0.509693196619161,-0.46897088261646996
ingv,ECPN,True,0.41087653081955633,0.22637871556480757
ingv,ECPN,True,0.5063827896906083,0.3616392461718126
ingv,ECPN,True,0.4500308079423675,-0.09400682479037284
ingv,ECPN,True,0.4188632144068829,-0.3675901047204787
ingv,ECPN,True,0.49499940432343015,-0.4599415788119833
ingv,ECPN,True,0.44440649680977634,-0.40041803046356006
ingv,ECPN,True,0.3811451496789253,-0.3534000675533474
ingv,ECPN,True,0.407285454364642,-0.287457319197707
ingv,ECPN,True,0.406398710038465,-0.03750970207615432
ingv,ECPN,True,0.38315231793734145,0.38309150790547974
ingv,ECPN,True,0.3931842680495857,0.38587007121817835
ingv,ECPN,True,0.4471454196863522,0.36850797091215665
ingv,ECPN,True,0.34172907828423504,0.2505918954571278
ingv,ECPN,True,0.38342862848736115,-0.1286975692884196
ingv,ECPN,True,0.43281506936441777,-0.41116726802931053
ingv,ECPN,True,0.37691129163382736,0.03318461277142655
ingv,ECPN,True,0.4440539508935972,0.3777805639712924
ingv,ECPN,True,0.48596697412947276,0.44586131579966154
ingv,ECPN,True,0.6311836339546376,-0.508958343409849
ingv,ECPN,True,0.44048364376049937,0.4329953649833007
ingv,ECPN,True,0.46599257369532704,0.4303009162209015
ingv,ECPN,True,0.47587764996470594,0.3016919369206128
ingv,ECPN,True,0.37176423393660507,-0.25344259987317086
ingv,ECPN,True,0.4358434392718577,-0.4077157983745831
ingv,ECPN,True,0.45023237153224044,0.1296465046469536
ingv,ECPN,True,0.42419312326676917,-0.27392846899564194
ingv,ECPN,True,0.4735274534937955,-0.41784390349093103
ingv,ECPN,True,0.39506975502867064,0.3462931030574121
ingv,ECPN,True,0.4215941331455832,-0.1672276436407648
ingv,ECPN,True,0.38460918032205094,-0.3273488354530747
ingv,ECPN,True,0.4042398281406969,0.28326888685997265
ingv,ECPN,True,0.4262224036758251,0.2549854156823498
ingv,ECPN,True,0.4858507538108844,-0.47656190179511765
ingv,ECPN,True,0.4447715087245948,0.25951525260216196
ingv,ECPN,True,0.4267810915711175,0.02838596172287394
