dataset,snr,plain,white
ingv,0.25,0.0,0.0
ingv,0.5,0.05,0.05
ingv,0.75,0.4166666666666667,0.4666666666666667
ingv,1.0,0.7833333333333333,0.7833333333333333
ingv,1.5,1.0,1.0
ingv,2.0,1.0,1.0
ingv,3.0,1.0,1.0
experiment,0.25,0.0,0.0
experiment,0.5,0.11666666666666667,0.05
experiment,0.75,0.6166666666666667,0.48333333333333334
experiment,1.0,0.9,0.7333333333333333
experiment,1.5,1.0,1.0
experiment,2.0,1.0,1.0
experiment,3.0,1.0,1.0
