time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,8.560022859982475e-08,3.2869157722080313e-09,-3.372982364663324e-07,1.0554123459878406e-07,3.479906600178231e-07,-1.0347089337845637e-07
1.0,8.572167153886312e-08,3.4744534504890726e-09,-3.3910123884914323e-07,1.0416686565563341e-07,3.4976828781414766e-07,-1.0209904265873687e-07
2.0,8.614037511067707e-08,3.6628017403761183e-09,-3.409617030242229e-07,1.0276819091448385e-07,3.516746325133312e-07,-1.0070331550028982e-07
3.0,8.654415981079744e-08,3.851716484658902e-09,-3.428031856538005e-07,1.013461755100124e-07,3.535589281742873e-07,-9.928469593715955e-08
4.0,8.685466656999097e-08,4.040950792752349e-09,-3.44747329836248e-07,9.990178478868781e-08,3.5551997768649666e-07,-9.784416842371175e-08
5.0,8.700677472939233e-08,4.230255667947178e-09,-3.467865753864485e-07,9.84359819095316e-08,3.5753476434756967e-07,-9.638271536899436e-08
6.0,8.717524893619988e-08,4.419380638252472e-09,-3.48887983947499e-07,9.69497255215972e-08,3.596141673655791e-07,-9.490131474614395e-08
7.0,8.766510864455235e-08,4.608074388193577e-09,-3.512097340313547e-07,9.544396752485796e-08,3.619854258834685e-07,-9.340093778392903e-08
8.0,8.821070882070181e-08,4.796085388975245e-09,-3.535282835052944e-07,9.391965092064502e-08,3.64367090156137e-07,-9.188254674697273e-08
9.0,8.859734479393921e-08,4.9831625244828185e-09,-3.556429693206409e-07,9.237770775721588e-08,3.6651249792024616e-07,-9.03470928106341e-08
10.0,8.882794361175783e-08,5.169055710676754e-09,-3.576723652219671e-07,9.081905717545694e-08,3.685375481681207e-07,-8.879551403594159e-08
11.0,8.899067471812572e-08,5.35351650604394e-09,-3.596332727347218e-07,8.924460355912353e-08,3.704800008700524e-07,-8.722873344936133e-08
12.0,8.91747095888018e-08,5.536298710905834e-09,-3.6157909816258993e-07,8.76552347934059e-08,3.72413175194325e-07,-8.564765723154818e-08
13.0,8.928803052477008e-08,5.717158953544272e-09,-3.635134431627385e-07,8.605182063498491e-08,3.7431854850517596e-07,-8.405317301857939e-08
14.0,8.938423476378965e-08,5.895857261282522e-09,-3.6532338893238703e-07,8.443521119612e-08,3.760993484777026e-07,-8.244614831852243e-08
15.0,8.944692955759059e-08,6.072157614844018e-09,-3.6705488077812265e-07,8.280623554470554e-08,3.77796292610611e-07,-8.082742904555193e-08
16.0,8.934040363062223e-08,6.245828484498654e-09,-3.6882670079174673e-07,8.116570042164601e-08,3.7949287600402613e-07,-7.91978381732151e-08
17.0,8.909313187199785e-08,6.4166433466919626e-09,-3.706953156240589e-07,7.951438907634569e-08,3.8125136481379556e-07,-7.755817450785955e-08
18.0,8.889245342591501e-08,6.584381180030323e-09,-3.7276605921454653e-07,7.785306022059272e-08,3.832184796932701e-07,-7.590921158269193e-08
19.0,8.894839542694655e-08,6.748826939657951e-09,-3.7499483809474987e-07,7.618244710064328e-08,3.8539972190796415e-07,-7.42516966724351e-08
20.0,8.927393288504781e-08,6.90977200920097e-09,-3.7739381738774447e-07,7.450325668688124e-08,3.8780913926216107e-07,-7.258634992809864e-08
21.0,8.935080278438257e-08,7.067014629566573e-09,-3.7970474391080256e-07,7.281616898003259e-08,3.900759650460174e-07,-7.091386363096473e-08
22.0,8.919187211020585e-08,7.220360303975446e-09,-3.8176295769770663e-07,7.112183643254147e-08,3.9204355105093143e-07,-6.923490156450692e-08
23.0,8.923298497331977e-08,7.369622178682196e-09,-3.838040605677606e-07,6.942088348335531e-08,3.940407117488623e-07,-6.755009850259097e-08
24.0,8.905002910064574e-08,7.514621398907513e-09,-3.859164033961915e-07,6.771390620401418e-08,3.960572914277401e-07,-6.586005981194781e-08
25.0,8.923084873768694e-08,7.655187439565887e-09,-3.880193268912535e-07,6.600147205360038e-08,3.9814713663115727e-07,-6.416536116656322e-08
26.0,8.951904365006591e-08,7.791158410418897e-09,-3.9005367339500774e-07,6.42841197397821e-08,4.001943619105119e-07,-6.24665483713053e-08
27.0,8.977818050093234e-08,7.922381335314669e-09,-3.921263964611066e-07,6.256235918289029e-08,4.022725848173486e-07,-6.076413729181571e-08
28.0,9.003674880658785e-08,8.048712405193661e-09,-3.943068969322616e-07,6.083667157970118e-08,4.0445586298632114e-07,-5.905861388742686e-08
29.0,8.995946187972947e-08,8.1700172045588e-09,-3.9656505301452483e-07,5.9107509563361515e-08,4.0664056125047756e-07,-5.735043434363352e-08
30.0,9.018864544074745e-08,8.286170911132248e-09,-3.989323919539878e-07,5.737529745568809e-08,4.0900005515472365e-07,-5.564002530044233e-08
31.0,9.09087043698964e-08,8.397058468454984e-09,-4.014300794483172e-07,5.56404316078962e-08,4.1159506947495796e-07,-5.392778417274206e-08
32.0,9.116235477613088e-08,8.502574731228057e-09,-4.039071118643045e-07,5.3903280825655457e-08,4.1406705971725514e-07,-5.2214079558677325e-08
33.0,9.12788809814824e-08,8.602624583248104e-09,-4.0622643950744e-07,5.216418687422976e-08,4.1635532213257874e-07,-5.04992517318579e-08
34.0,9.144474660827129e-08,8.697123027861378e-09,-4.084568868273353e-07,5.0423465059321126e-08,4.185679993488866e-07,-4.878361321308774e-08
35.0,9.151631591430842e-08,8.785995250955687e-09,-4.107220515289778e-07,4.868140487910121e-08,4.2079429617177533e-07,-4.706744941714482e-08
36.0,9.160050576384471e-08,8.869176656626004e-09,-4.128571511330392e-07,4.693827074278089e-08,4.228967721535379e-07,-4.535101936998767e-08
37.0,9.170956444259915e-08,8.946612875779425e-09,-4.1489201943467613e-07,4.519430275094071e-08,4.249070863151554e-07,-4.36345564916133e-08
38.0,9.161692543502298e-08,9.018259748081528e-09,-4.1703822498823095e-07,4.3449717532733485e-08,4.269830700712862e-07,-4.1918269439653214e-08
39.0,9.140022305675899e-08,9.08408327778457e-09,-4.1906850910267135e-07,4.17047091349795e-08,4.2892005793196595e-07,-4.0202343008676984e-08
40.0,9.127071931569475e-08,9.14405956411478e-09,-4.2113606362956246e-07,3.9959449958111486e-08,4.3091290105287775e-07,-3.8486939080082395e-08
41.0,9.091699587626678e-08,9.198174707025614e-09,-4.23351560630697e-07,3.821409173389524e-08,4.3300397691893296e-07,-3.677219761739441e-08
42.0,9.080368981728704e-08,9.246424689238624e-09,-4.2562197969178706e-07,3.646876653985418e-08,4.3520039025854523e-07,-3.5058237701774256e-08
43.0,9.100254319549528e-08,9.28881523558652e-09,-4.2809080559244594e-07,3.472358784536278e-08,4.3765648710014267e-07,-3.334515860255706e-08
44.0,9.083463051173801e-08,9.32536165074018e-09,-4.3053027595427174e-07,3.297865158443874e-08,4.4000823698365617e-07,-3.163304087768744e-08
45.0,9.048079621654104e-08,9.356088636444813e-09,-4.327187502241314e-07,3.1234037250350304e-08,4.4207724582872783e-07,-2.992194749899962e-08
46.0,9.054653077322783e-08,9.381030089415279e-09,-4.3496172682719325e-07,2.9489809007255092e-08,4.4428636940554564e-07,-2.8211924997381776e-08
47.0,9.036162107456391e-08,9.400228881050473e-09,-4.3712974231308044e-07,2.774601681419178e-08,4.4637163236245555e-07,-2.650300462296802e-08
48.0,9.025161998299502e-08,9.41373662012042e-09,-4.3917098819026834e-07,2.6002697556859356e-08,4.4834864980009894e-07,-2.479520351561401e-08
49.0,9.030545436439219e-08,9.421613399556036e-09,-4.4132540865174374e-07,2.425987618274282e-08,4.5046996726706205e-07,-2.308852588104091e-08
50.0,9.028222686113807e-08,9.423927528431025e-09,-4.436380856877309e-07,2.2517566835286378e-08,4.527313017228657e-07,-2.1382964168181643e-08
51.0,9.03816866626439e-08,9.420755250171737e-09,-4.459769072547026e-07,2.077577398297943e-08,4.5504313101996605e-07,-1.9678500243436667e-08
52.0,9.078568347087312e-08,9.412180447968609e-09,-4.483697895359129e-07,1.9034493539406852e-08,4.5746858743716206e-07,-1.7975106557743973e-08
53.0,9.085573490774657e-08,9.398294338298241e-09,-4.5079897493041643e-07,1.7293713970520372e-08,4.5986354537399563e-07,-1.6272747302583533e-08
54.0,9.090838995473582e-08,9.379195153405949e-09,-4.533294648730035e-07,1.5553417385602688e-08,4.623547762121703e-07,-1.4571379551261043e-08
55.0,9.099886796870571e-08,9.354987813552556e-09,-4.558503012876136e-07,1.3813580608613553e-08,4.6484437304929706e-07,-1.2870954382040806e-08
56.0,9.14079028302428e-08,9.325783589800526e-09,-4.5835786805642487e-07,1.2074176226820848e-08,4.6738350410455663e-07,-1.1171417979914647e-08
57.0,9.165912551178934e-08,9.291699758103684e-09,-4.6077783992515275e-07,1.0335173613821998e-08,4.698059312691525e-07,-9.47271271399681e-09
58.0,9.140980081201455e-08,9.252859245471865e-09,-4.6294936069044e-07,8.596539924249532e-09,4.7188755254634476e-07,-7.774778187720293e-09
59.0,9.132819356327815e-08,9.209390269009043e-09,-4.6504024519763987e-07,6.858241057626194e-09,4.739232728965867e-07,-6.0775522591758685e-09
60.0,9.130709463511799e-08,9.161425968671714e-09,-4.6730603373706936e-07,5.12024258899514e-09,4.7614274613583834e-07,-4.380972029085009e-09
61.0,9.108662421541958e-08,9.109104034657065e-09,-4.695466956465555e-07,3.3825106641061905e-09,4.782999817097635e-07,-2.6849747940407253e-09
62.0,9.084387042612718e-08,9.052566330398117e-09,-4.7162948665219195e-07,1.6450128570996258e-09,4.802988460050775e-07,-9.894989627973336e-10
63.0,9.068302758707958e-08,8.99195851220734e-09,-4.7390129919583357e-07,-9.228101120087783e-11,4.824995884680712e-07,7.055150664521971e-10
64.0,9.016490323809911e-08,8.927429646666227e-09,-4.761397442848425e-07,-1.8293980960927418e-09,4.846016568931343e-07,2.4001240697030375e-09
65.0,9.006036286174357e-08,8.859131826901774e-09,-4.7832239975093e-07,-3.566361794411184e-09,4.867270149295983e-07,4.094381203377689e-09
66.0,9.000562467553763e-08,8.787219788916741e-09,-4.808513789505975e-07,-5.303191053870663e-09,4.892024745562157e-07,5.788335254689972e-09
