time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,0.0,9.327823985837903e-11,0.0,-5.578815466212396e-11,0.0,3.409421694596239e-12
1.0,2.866391152211989e-12,9.768207002767433e-11,-1.228815660336835e-11,-6.151083059962877e-11,1.26180422786732e-11,1.0423462612824379e-11
2.0,6.35716132513231e-12,1.0209813529054915e-10,-2.5261258362885286e-11,-6.725796421288945e-11,2.604889007597444e-11,1.745488517459213e-11
3.0,7.519117273258047e-12,1.0652162747947518e-10,-2.852928310259628e-11,-7.30234527333611e-11,2.95035102812715e-11,2.4494610379273616e-11
4.0,5.424787355434724e-12,1.1094765167266562e-10,-1.9884260904490247e-11,-7.880110268942453e-11,2.061097158237631e-11,3.1533425002329935e-11
5.0,3.3313594938189084e-12,1.1537123180710304e-10,-1.2284964712172552e-11,-8.458463751595777e-11,1.2728641485106815e-11,3.856199616930416e-11
6.0,2.8510249716617864e-12,1.1978731658546255e-10,-1.2248597969222175e-11,-9.036770539722838e-11,1.257602861004509e-11,4.5570886534525286e-11
7.0,4.895727920284365e-12,1.241907856922339e-10,-2.2832853663334873e-11,-9.614388735602221e-11,2.3351817023108002e-11,5.255057007412127e-11
8.0,6.755549245007764e-12,1.2857645633230532e-10,-2.85048096237972e-11,-1.019067056010391e-10,2.929439566351636e-11,5.949144849998857e-11
9.0,1.0716321927062289e-11,1.329390901026426e-10,-3.3514559183434045e-11,-1.0764963214276717e-10,3.5186151152183996e-11,6.638386829729836e-11
10.0,1.2120998649223225e-11,1.3727340020455154e-10,-2.928423475934139e-11,-1.133660976855551e-10,3.1693611559661193e-11,7.321813838320811e-11
11.0,1.3009482380255122e-11,1.4157405900046705e-10,-2.7442499661578523e-11,-1.1904950080073817e-10,3.037000855248325e-11,7.9984548379029e-11
12.0,1.476077940432141e-11,1.458357059153721e-10,-2.9939592471883714e-11,-1.2469321738252699e-10,3.338053034338303e-11,8.667338748228743e-11
13.0,1.9632863043628213e-11,1.500529556788499e-10,-3.969870265851938e-11,-1.3029061038479517e-10,4.4288105672509814e-11,9.327496391880226e-11
14.0,2.629726818248468e-11,1.542204068994268e-10,-5.064348940209129e-11,-1.3583503983274788e-10,5.7064080932590633e-11,9.977962494794105e-11
15.0,3.2777761407865036e-11,1.5833265095829378e-10,-5.711466022351175e-11,-1.413198730987539e-10,6.585184929338068e-11,1.0617777738667257e-10
16.0,3.7609245578940076e-11,1.6238428120480133e-10,-6.174506739231589e-11,-1.4673849542663067e-10,7.229736302451601e-11,1.1245990861018476e-10
17.0,4.2355507989810803e-11,1.6636990243145529e-10,-6.747372799376095e-11,-1.520843206836815e-10,7.966613475279798e-11,1.1861660797902395e-10
18.0,5.072137328199222e-11,1.7028414060162468e-10,-8.115120381235741e-11,-1.573508023149494e-10,9.569835728896273e-11,1.2463858863514462e-10
19.0,5.990333576399998e-11,1.7412165279887401e-10,-1.0257743265906782e-10,-1.6253144446949573e-10,1.187877911511958e-10,1.305167096019921e-10
20.0,6.980508532317131e-11,1.778771373627924e-10,-1.181558878515787e-10,-1.6761981326407302e-10,1.3723543190798095e-10,1.3624199811684026e-10
21.0,8.151059861793986e-11,1.8154534417249144e-10,-1.196202858988471e-10,-1.7260954814555544e-10,1.447514783536832e-10,1.4180567211730058e-10
22.0,9.147805776765772e-11,1.851210850357126e-10,-1.3094576811756298e-10,-1.7749437331022076e-10,1.5973424567337304e-10,1.4719916279854733e-10
23.0,9.64907580919272e-11,1.8859924413887468e-10,-1.2653983416655024e-10,-1.8226810913560323e-10,1.5913137977172461e-10,1.5241413715358624e-10
24.0,1.0213924497848303e-10,1.9197478851150048e-10,-1.3257962089285869e-10,-1.869246835790218e-10,1.6736122980209216e-10,1.5744252040577356e-10
25.0,1.1116266761257432e-10,1.9524277845730133e-10,-1.5393046559619705e-10,-1.914581434957072e-10,1.8987292305488343e-10,1.6227651824051882e-10
26.0,1.228420021953669e-10,1.9839837790369396e-10,-1.7634980975511638e-10,-1.9586266582845275e-10,2.1491722337689055e-10,1.6690863874142307e-10
27.0,1.36666920835804e-10,2.0143686462158826e-10,-2.0022672408970266e-10,-2.0013256861992813e-10,2.424223345536336e-10,1.713317139350086e-10
28.0,1.422336970424709e-10,2.043536402679337e-10,-2.1086211249299325e-10,-2.04262321798601e-10,2.543486879450671e-10,1.755389208480075e-10
29.0,1.4241333806674916e-10,2.0714424020486036e-10,-2.0927123228764444e-10,-2.0824655769014264e-10,2.5313239129456235e-10,1.7952380198240065e-10
30.0,1.4493954474115167e-10,2.098043430513865e-10,-2.1191293164690705e-10,-2.1208008120855653e-10,2.567383146882424e-10,1.8328028511634418e-10
31.0,1.5104614087269042e-10,2.123297799265173e-10,-2.22270861438556e-10,-2.1575787968491404e-10,2.6873643689900034e-10,1.8680270234362617e-10
32.0,1.5779101462942702e-10,2.1471654334589747e-10,-2.423262146500349e-10,-2.1927513229603253e-10,2.8917122713783064e-10,1.900858082698516e-10
33.0,1.5560390476121455e-10,2.169607957377993e-10,-2.375909052831915e-10,-2.226272190602679e-10,2.8401058686292593e-10,1.9312479728969165e-10
34.0,1.438753127053216e-10,2.1905887754803635e-10,-2.032094562065545e-10,-2.258097293727076e-10,2.4898632231071987e-10,1.9591531987612768e-10
35.0,1.3143985552743764e-10,2.2100731490735133e-10,-1.6722942475233538e-10,-2.288184700574204e-10,2.127019419847188e-10,1.984534978196272e-10
36.0,1.289777017826621e-10,2.2280282683872618e-10,-1.584614175986765e-10,-2.316494729196003e-10,2.0431658871594216e-10,2.0073593836213222e-10
37.0,1.3623314976118905e-10,2.2444233198552657e-10,-1.8714624294702276e-10,-2.3429900178445166e-10,2.3148042539929943e-10,2.0275974717660083e-10
38.0,1.4220978040990762e-10,2.2592295484409679e-10,-2.2535998067674257e-10,-2.3676355901163307e-10,2.6647840913450365e-10,2.0452254014672636e-10
39.0,1.4206706297481553e-10,2.2724203148636832e-10,-2.364410195410116e-10,-2.390398914741179e-10,2.7583945711932374e-10,2.0602245390346025e-10
40.0,1.3439624933775374e-10,2.2839711475956755e-10,-2.1375506226162244e-10,-2.4112499598965167e-10,2.524947098030487e-10,2.0725815507626728e-10
41.0,1.2706615967750245e-10,2.2938597895155281e-10,-1.8576532673231227e-10,-2.43016124192979e-10,2.2506569163502305e-10,2.082288482189786e-10
42.0,1.2712750990795385e-10,2.3020662391176988e-10,-1.7948463548744797e-10,-2.4471078683810736e-10,2.1994576184018408e-10,2.0893428237308896e-10
43.0,1.3622865162321585e-10,2.308572786190963e-10,-2.078413899320175e-10,-2.4620675752129613e-10,2.4850812641028957e-10,2.0937475623461642e-10
44.0,1.4719741224522576e-10,2.313364041887539e-10,-2.4966440026474856e-10,-2.4750207581612365e-10,2.898264841784607e-10,2.0955112189320328e-10
45.0,1.5438155441527268e-10,2.3164269631106563e-10,-2.6612920894786285e-10,-2.485950498116564e-10,3.0766608555200075e-10,2.094647871138197e-10
46.0,1.531458466985658e-10,2.3177508711546194e-10,-2.4300614992478486e-10,-2.494842580443134e-10,2.8723794885475635e-10,2.0911771613317564e-10
47.0,1.4797754514794814e-10,2.3173274645419366e-10,-2.033970006309893e-10,-2.5016855081470996e-10,2.5153070137399867e-10,2.0851242894598473e-10
48.0,1.4922428050179182e-10,2.3151508260185313e-10,-1.9901583853121352e-10,-2.506470508829116e-10,2.487472409446173e-10,2.0765199906093444e-10
49.0,1.618097964645182e-10,2.3112174236890527e-10,-2.558585149303738e-10,-2.5091915353824913e-10,3.0273088691817545e-10,2.06540049711768e-10
50.0,1.7467394891612642e-10,2.3055261062974551e-10,-3.177218696470696e-10,-2.509845260419341e-10,3.6257161345309846e-10,2.051807485141416e-10
51.0,1.726783958877487e-10,2.2980780926828138e-10,-3.1236191411210257e-10,-2.508431064420821e-10,3.569142667282195e-10,2.0357880056376726e-10
52.0,1.578194016443879e-10,2.2888769554687947e-10,-2.5232151090737176e-10,-2.504951017627286e-10,2.9761234584938097e-10,2.017394399770178e-10
53.0,1.456914623665373e-10,2.2779285990794218e-10,-2.1320040177741362e-10,-2.4994098557244234e-10,2.5822550905081154e-10,1.996684198829611e-10
54.0,1.4456996884348872e-10,2.2652412322123136e-10,-2.292116219049234e-10,-2.4918149494400846e-10,2.709952831834769e-10,1.9737200088545702e-10
55.0,1.511252702840471e-10,2.2508253349385774e-10,-2.7424653520347064e-10,-2.4821762682256154e-10,3.1312938123008314e-10,1.9485693802368972e-10
56.0,1.5458890764707967e-10,2.234693620631588e-10,-2.972634777220762e-10,-2.47050633823858e-10,3.350571675922493e-10,1.9213046626768512e-10
57.0,1.4678211424090648e-10,2.216860992954461e-10,-2.8124768486348373e-10,-2.456820194872231e-10,3.1724635427708226e-10,1.89200284592067e-10
58.0,1.287679737144165e-10,2.1973444981611167e-10,-2.3515905889226474e-10,-2.441135330105975e-10,2.6810627376772125e-10,1.8607453867796375e-10
59.0,1.0996541698060636e-10,2.176163272990723e-10,-1.8834640791443036e-10,-2.423471634991252e-10,2.1809805663046982e-10,1.8276180230063982e-10
60.0,9.756763279245018e-11,2.153338488458563e-10,-1.638378460677714e-10,-2.4038513376336594e-10,1.9068896867110367e-10,1.7927105746856432e-10
61.0,9.690829388953048e-11,2.1288932898632458e-10,-1.778597269463944e-10,-2.382298937067739e-10,2.025470313137805e-10,1.756116733865221e-10
62.0,1.0412300015250064e-10,2.102852733336204e-10,-2.184272276939403e-10,-2.3588411334305905e-10,2.419753147716066e-10,1.7179338431947563e-10
63.0,1.0576636268189166e-10,2.075243719253904e-10,-2.367212259546392e-10,-2.3335067548226887e-10,2.5927487786599143e-10,1.6782626643500995e-10
64.0,9.514139649724473e-11,2.0460949228197757e-10,-2.1159355517719192e-10,-2.306326681211609e-10,2.3199939206810282e-10,1.6372071370160952e-10
65.0,7.981483529651001e-11,2.0154367221069105e-10,-1.6870607688623807e-10,-2.2773337657040838e-10,1.8663372769077483e-10,1.594874129194884e-10
66.0,7.017982549262225e-11,1.9833011238370475e-10,-1.4321643176939958e-10,-2.2465627534925032e-10,1.594871600942659e-10,1.5513731796110784e-10
67.0,7.599195578356088e-11,1.9497216871552329e-10,-1.6745384939786945e-10,-2.2140501987674645e-10,1.838901003914431e-10,1.5068162329925986e-10
68.0,8.949224694632107e-11,1.9147334456395512e-10,-2.1572293257277053e-10,-2.179834379865111e-10,2.3354923656757565e-10,1.4613173690032634e-10
69.0,9.428005078027102e-11,1.8783728277606084e-10,-2.396143908289794e-10,-2.1439552128807446e-10,2.5749521212533905e-10,1.4149925255845508e-10
70.0,8.852739548370625e-11,1.8406775759792452e-10,-2.166925111568574e-10,-2.1064541639374243e-10,2.340784999580126e-10,1.3679592174384302e-10
