time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,-1.77954363137639e-08,-1.8052229200816757e-09,2.7573372675393504e-08,1.6836883207104613e-09,3.2817197233971155e-08,2.319430236370041e-09
1.0,-1.7696226867550124e-08,-1.7277999008035695e-09,2.7531802573865782e-08,1.6163884341911836e-09,3.272852881377538e-08,2.221083706853749e-09
2.0,-1.762292026023793e-08,-1.6494056817190203e-09,2.7452367594438254e-08,1.548227166077859e-09,3.262207542506865e-08,2.121499880072465e-09
3.0,-1.7532832118430375e-08,-1.5700891613802562e-09,2.7372946354020655e-08,1.4792431044427404e-09,3.250659001176771e-08,2.0207381705552774e-09
4.0,-1.743658826700023e-08,-1.4898992530879572e-09,2.7291951400221226e-08,1.409474726583986e-09,3.2386497520184664e-08,1.9188579241207263e-09
5.0,-1.7360057013443564e-08,-1.4088847602007587e-09,2.720268733186204e-08,1.3389602948921322e-09,3.2270075574517306e-08,1.8159182624131762e-09
6.0,-1.7254819207127015e-08,-1.327094254545779e-09,2.7129212626375576e-08,1.267737755749124e-09,3.215156238190821e-08,1.7119779316358378e-09
7.0,-1.7176709180000138e-08,-1.2445759583178243e-09,2.704386313501228e-08,1.195844641794691e-09,3.203763211474246e-08,1.6070951559759155e-09
8.0,-1.708178509231273e-08,-1.1613776298302273e-09,2.6971351582694147e-08,1.123317977874279e-09,3.192555697458159e-08,1.5013274961867597e-09
9.0,-1.69866972033611e-08,-1.077546453454628e-09,2.689351225049208e-08,1.050194190960749e-09,3.180894344435293e-08,1.3947317137595412e-09
10.0,-1.6896150362502582e-08,-9.931289340604626e-10,2.6807809000439775e-08,9.765090243188412e-10,3.168814479385557e-08,1.287363641083047e-09
11.0,-1.6807599804991025e-08,-9.081707962376211e-10,2.6717331638725916e-08,9.022974561572019e-10,3.1564397999936564e-08,1.1792780579550035e-09
12.0,-1.67138351579027e-08,-8.227168885576946e-10,2.663887835319123e-08,8.275936229877698e-10,3.144808619934868e-08,1.0705285747720294e-09
13.0,-1.661808722054625e-08,-7.368110931005465e-10,2.6576988582105443e-08,7.524307478864676e-10,3.134481049492955e-08,9.611675226879065e-10
14.0,-1.6564888308256975e-08,-6.504962404437311e-10,2.6493777185998546e-08,6.768410738224131e-10,3.124605181853166e-08,8.51245850991399e-10
15.0,-1.644480913248758e-08,-5.638140302827958e-10,2.6448239286158692e-08,6.008558021954491e-10,3.1143877548273516e-08,7.408130319156265e-10
16.0,-1.639204729592114e-08,-4.76804957820984e-10,2.6360213727094628e-08,5.245050366941548e-10,3.104126418639911e-08,6.299169730515406e-10
17.0,-1.6300980844666246e-08,-3.895082460377764e-10,2.628984851343885e-08,4.478177325592679e-10,3.0933446483664554e-08,5.186039374991518e-10
18.0,-1.622024455028015e-08,-3.019617839173445e-10,2.621841609096176e-08,3.708216513110067e-10,3.083020719342793e-08,4.06918471852281e-10
19.0,-1.6139811400556203e-08,-2.1420207069064418e-10,2.6153236284964798e-08,2.935433209733096e-10,3.0732479239767225e-08,2.949033420760737e-10
20.0,-1.6064303765689347e-08,-1.2626416611874935e-10,2.609679637666229e-08,2.1600800180345468e-10,3.064481418774333e-08,1.825994773013935e-10
21.0,-1.5982052783622414e-08,-3.8181646820268586e-11,2.603776256410173e-08,1.382396575119694e-10,3.0551449892321484e-08,7.004592152665798e-11
22.0,-1.5897869409808862e-08,5.001343137758028e-11,2.596270372301479e-08,6.026093193547666e-11,3.044345966509691e-08,-4.2720206814036465e-11
23.0,-1.5806830783518522e-08,1.3829056510636455e-10,2.588425869476385e-08,-1.790686889539946e-11,3.0329041323395746e-08,-1.5566374748702325e-10
24.0,-1.5733930030376042e-08,2.2662082920449975e-10,2.5802969053079217e-08,-9.624378936952935e-11,3.022167709037559e-08,-2.687515233968301e-10
25.0,-1.5630804036520507e-08,3.14976896626737e-10,2.573595606070178e-08,-1.7473123168338097e-10,3.011081980263039e-08,-3.8195235794754743e-10
26.0,-1.556838478272704e-08,4.033330526129825e-10,2.5671097941826204e-08,-2.533519581123092e-10,3.002298909638879e-08,-4.952370849723643e-10
27.0,-1.5458010460198124e-08,4.916652032301775e-10,2.5592808816643497e-08,-3.320900882878837e-10,2.9898862027054806e-08,-6.08578551396829e-10
28.0,-1.538874227352549e-08,5.79950878415516e-10,2.5495757012550246e-08,-4.109310916173189e-10,2.977997673612247e-08,-7.219516128207662e-10
29.0,-1.5271218496357153e-08,6.681692296625193e-10,2.541144679402141e-08,-4.89861774993075e-10,2.964712030752501e-08,-8.353331222214691e-10
30.0,-1.5204019159983928e-08,7.563010225035302e-10,2.5316469823288834e-08,-5.688702659516266e-10,2.953109958891901e-08,-9.487019119969082e-10
31.0,-1.5100348686736265e-08,8.443286239532338e-10,2.5264953532055934e-08,-6.479459914506978e-10,2.9433627153953745e-08,-1.0620387695827204e-09
32.0,-1.5018240536596172e-08,9.322359850880003e-10,2.5187768266932142e-08,-7.270796524444034e-10,2.932526588257529e-08,-1.1753264068911947e-09
33.0,-1.4935120353984366e-08,1.0200086189452683e-09,2.5107847426153462e-08,-8.062631944457008e-10,2.9214068911450853e-08,-1.2885494238343349e-09
34.0,-1.4827663709707228e-08,1.1076335739357506e-09,2.504092009442127e-08,-8.854897742749509e-10,2.9101671605998164e-08,-1.4016942662059779e-09
35.0,-1.4757278028049159e-08,1.1950994029689065e-09,2.495238241029263e-08,-9.647537232016371e-10,2.898962991737948e-08,-1.5147491782093914e-09
36.0,-1.467038341848581e-08,1.2823961284988154e-09,2.4894113714868382e-08,-1.0440505066932364e-09,2.8895277248958548e-08,-1.6277041499265449e-09
37.0,-1.4579559131158715e-08,1.3695152037033438e-09,2.4823257720185676e-08,-1.1233766809908896e-09,2.8788151526308724e-08,-1.7405508600334117e-09
38.0,-1.4495499269656653e-08,1.4564494700142651e-09,2.4748210175618013e-08,-1.2027298467359308e-09,2.868088921168902e-08,-1.8532826140721943e-09
