time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,0.0,5.2833121385149134e-11,0.0,3.5112345498004927e-11,0.0,-2.8303235708691664e-11
1.0,1.526044915434177e-12,5.703791059956942e-11,-5.644866518661473e-12,3.0281271923203966e-11,5.847506399947571e-12,-2.2090341391755124e-11
2.0,3.501249637438697e-12,6.125579240480183e-11,-1.3004146370843017e-11,2.542112311609937e-11,1.346724069206362e-11,-1.584647388740492e-11
3.0,4.1146114293511005e-12,6.548223693861522e-11,-1.4687369376265025e-11,2.0536797262527966e-11,1.5252830767086953e-11,-9.578476798373602e-12
4.0,3.109909899046137e-12,6.97126417797212e-11,-1.0172078457326705e-11,1.5633256712082664e-11,1.063685666549076e-11,-3.293294873539818e-12
5.0,2.0983301901589257e-12,7.394233729314838e-11,-6.4491259554877445e-12,1.0715522652705696e-11,6.781903506883455e-12,3.002034265261223e-12
6.0,1.968085416859111e-12,7.816659224723964e-11,-7.571207549794678e-12,5.788669596419285e-12,7.822821995298208e-12,9.300388771814726e-12
7.0,3.218824512485341e-12,8.23806197199353e-11,-1.5278556197984017e-11,8.578196518853876e-13,1.56139396289704e-11,1.559457162892309e-11
8.0,4.294547356620271e-12,8.65795833097349e-11,-1.7906530425104705e-11,-4.0718634388937754e-12,1.8414314238207586e-11,2.187732013325241e-11
9.0,7.827044568031738e-12,9.075860366390021e-11,-2.1879310863059942e-11,-8.99518052001816e-12,2.3237187233233888e-11,2.8141315834486513e-11
10.0,9.707557674376588e-12,9.49127653331213e-11,-1.9381926619210788e-11,-1.3906903514535831e-11,2.1677079034635167e-11,3.4379194947080315e-11
11.0,1.1293870352813151e-11,9.903712395809712e-11,-1.9669724182769244e-11,-1.8801782204486567e-11,2.2681480484579684e-11,4.058355924773768e-11
12.0,1.3389530803542549e-11,1.0312671378936854e-10,-2.2859526771501493e-11,-2.367455130806348e-11,2.6492215825710166e-11,4.6746987466037763e-11
13.0,1.8116111041854843e-11,1.0717655553734416e-10,-3.2206952382818343e-11,-2.8519937859453573e-11,3.6952418879823594e-11,5.2862047169348026e-11
14.0,2.4510336468774874e-11,1.1118166454481421e-10,-4.2783686315939207e-11,-3.333266889201519e-11,4.930720442889902e-11,5.892130713625512e-11
15.0,3.050022387429685e-11,1.1513705926940049e-10,-4.763725525158691e-11,-3.810747942009043e-11,5.656475708678569e-11,6.491735020532245e-11
16.0,3.494623167232813e-11,1.190377700584315e-10,-5.042028600188431e-11,-4.283912070916338e-11,6.134691800414949e-11,7.084278657829664e-11
17.0,3.9741111443336585e-11,1.2287884819379048e-10,-5.7600382796785254e-11,-4.752236881849031e-11,6.997971161049389e-11,7.669026754920373e-11
18.0,4.93219163427705e-11,1.2665537517946493e-10,-7.473462126927899e-11,-5.215203339484537e-11,8.954281125800005e-11,8.245249962324744e-11
19.0,6.032112483123075e-11,1.3036247223989379e-10,-9.985591520322856e-11,-5.67229666906493e-11,1.166612270721481e-10,8.812225898207825e-11
20.0,6.93153191094753e-11,1.3399530999282304e-10,-1.104228306014754e-10,-6.123007277457843e-11,1.3037566867054037e-10,9.369240624496903e-11
21.0,8.019119916713446e-11,1.375491182563555e-10,-1.0901555352882397e-10,-6.566831689809313e-11,1.3533299425882409e-10,9.915590146902666e-11
22.0,8.989040935214465e-11,1.4101919594638111e-10,-1.1825650181318537e-10,-7.003273497752598e-11,1.4854253907412532e-10,1.0450581932617154e-10
23.0,9.631608011151371e-11,1.4440092101773289e-10,-1.1626345025606e-10,-7.431844314850127e-11,1.5097674375045604e-10,1.0973536439036898e-10
24.0,1.0496542697524536e-10,1.476897604003002e-10,-1.321590892278124e-10,-7.85206473472495e-11,1.6877134154121204e-10,1.1483788646531023e-10
25.0,1.1565794329204682e-10,1.5088127987994206e-10,-1.5671840908337842e-10,-8.263465287146975e-11,1.9477530539617045e-10,1.198068958801247e-10
26.0,1.2747781129307523e-10,1.5397115387334393e-10,-1.7713491784476787e-10,-8.66558738716637e-11,2.182369617914105e-10,1.2463607867863998e-10
27.0,1.3977321383640273e-10,1.5695517504593394e-10,-1.9612015483838618e-10,-9.057984272256434e-11,2.408311990585716e-10,1.2931931162639324e-10
28.0,1.4578311301194358e-10,1.598292637226717e-10,-1.9648990073894979e-10,-9.440221922389572e-11,2.446650713360112e-10,1.3385067695945138e-10
29.0,1.5027588028126981e-10,1.625894770430284e-10,-1.993237588870933e-10,-9.811879958062337e-11,2.4962532133417603e-10,1.3822447680049366e-10
30.0,1.5581923078211712e-10,1.65232017813828e-10,-2.193453821353053e-10,-1.0172552511511882e-10,2.6905766918193167e-10,1.424352471705909e-10
31.0,1.621322312517215e-10,1.6775324301673056e-10,-2.4149285349217564e-10,-1.0521849066694479e-10,2.908705187853439e-10,1.4647777152937828e-10
32.0,1.6681035198973237e-10,1.7014967193084172e-10,-2.527811779340361e-10,-1.0859395263994775e-10,3.028597322997186e-10,1.5034709378150721e-10
33.0,1.6220388227017324e-10,1.7241799383507867e-10,-2.3236411406113433e-10,-1.118483366610111e-10,2.8337815887420127e-10,1.54038530693278e-10
34.0,1.4845273794972247e-10,1.7455507525939794e-10,-2.0193510752442023e-10,-1.1497824482031333e-10,2.506312092610737e-10,1.575476836702552e-10
35.0,1.377606414360022e-10,1.7655796675863465e-10,-1.8025940462518264e-10,-1.1798046246903378e-10,2.2687319648800314e-10,1.6087044985417364e-10
36.0,1.3637842070923778e-10,1.7842390918718445e-10,-1.7569761617819424e-10,-1.2085196455627007e-10,2.2241566034307458e-10,1.6400303250465022e-10
37.0,1.447825210415532e-10,1.8015033945664962e-10,-1.971105917375482e-10,-1.235899214913394e-10,2.4457016125086516e-10,1.669419506369447e-10
38.0,1.52633536018576e-10,1.8173489576158914e-10,-2.2702081881043057e-10,-1.2619170451998769e-10,2.735606852069432e-10,1.6968404789057935e-10
39.0,1.5340634144933585e-10,1.8317542226075423e-10,-2.416799815829762e-10,-1.28654890603671e-10,2.862563869939288e-10,1.7222650060537165e-10
40.0,1.4096949822739457e-10,1.8446997320305427e-10,-2.1290229995640786e-10,-1.3097726679110839e-10,2.5534249305043546e-10,1.745668250824858e-10
41.0,1.3021378073019285e-10,1.8561681648935232e-10,-1.7400338114814673e-10,-1.3315683407181164e-10,2.1733109612533125e-10,1.7670288400956508e-10
42.0,1.318371245506711e-10,1.866144366630666e-10,-1.76369911730756e-10,-1.3519181070248944e-10,2.2019848585697367e-10,1.7863289203105779e-10
