time_seconds,dir_raw,dir_bp,ortho_raw,ortho_bp,mag_raw,mag_bp
0.0,-9.142234627668167e-08,-9.565829730862236e-09,-8.60724475720831e-08,-9.84846709360121e-09,1.2556477065555642e-07,1.3609478593782826e-08
1.0,-9.10005956145099e-08,-9.242356571810074e-09,-8.57028555623085e-08,-9.491726404394358e-09,1.2500435133918127e-07,1.3129242664074374e-08
2.0,-9.069268297468014e-08,-8.914413234496207e-09,-8.541012352925037e-08,-9.130536874279759e-09,1.2457950050641417e-07,1.2642707583468505e-08
3.0,-9.03065005275483e-08,-8.5821749998061e-09,-8.495510181449895e-08,-8.76511430561841e-09,1.2398642410297976e-07,1.2150148015225896e-08
4.0,-8.993275646407284e-08,-8.24581646590445e-09,-8.451842832546408e-08,-8.39567345987935e-09,1.2341501291104274e-07,1.1651837371851712e-08
5.0,-8.959202202341032e-08,-7.905511093755874e-09,-8.413478942703723e-08,-8.022427457980124e-09,1.2290399994375746e-07,1.1148047075436134e-08
6.0,-8.91852897644263e-08,-7.561430768799575e-09,-8.362945218276518e-08,-7.645587197314294e-09,1.222616096031542e-07,1.0639045841446788e-08
7.0,-8.885853428064472e-08,-7.213745380090968e-09,-8.32576652620709e-08,-7.26536078738329e-09,1.217689531013368e-07,1.0125098988245123e-08
8.0,-8.849648050479608e-08,-6.8626224181090776e-09,-8.285815993047674e-08,-6.881953005840559e-09,1.212316036716508e-07,9.606467774439707e-09
9.0,-8.809686827260244e-08,-6.508226592313065e-09,-8.231391977753244e-08,-6.495564776640133e-09,1.205679874120088e-07,9.083408766025162e-09
10.0,-8.773637863446204e-08,-6.150719469415498e-09,-8.192018594033179e-08,-6.106392671860279e-09,1.2003578216676984e-07,8.556173235086834e-09
11.0,-8.737194073793475e-08,-5.790259133224462e-09,-8.148528925222553e-08,-5.714628438645775e-09,1.1947262612344321e-07,8.025006591679153e-09
12.0,-8.696542164177146e-08,-5.42699986679192e-09,-8.097580531107873e-08,-5.32045855257983e-09,1.1882788227982866e-07,7.490147850310192e-09
13.0,-8.657880490314795e-08,-5.06109185749173e-09,-8.053374840610861e-08,-4.924063798658363e-09,1.1824370634750823e-07,6.951829132286049e-09
14.0,-8.633113093847733e-08,-4.69268092553789e-09,-8.028622325295665e-08,-4.5256188808953534e-09,1.1789377342904974e-07,6.410275204986868e-09
15.0,-8.582608465590447e-08,-4.321908276342192e-09,-7.966429027561617e-08,-4.125292061439241e-09,1.1710045240083453e-07,5.86570305896208e-09
16.0,-8.556700015205365e-08,-3.9489102770014944e-09,-7.941920951437531e-08,-3.7232448299280124e-09,1.1674383219215391e-07,5.3183215235476135e-09
17.0,-8.515779859052941e-08,-3.5738182570992944e-09,-7.901774705387776e-08,-3.3196316036570955e-09,1.1617080102270011e-07,4.768330921524796e-09
18.0,-8.478414512125276e-08,-3.1967583339053056e-09,-7.870278945221187e-08,-2.9145994589812546e-09,1.1568267083492168e-07,4.215922763161104e-09
19.0,-8.439872192789188e-08,-2.8178512619604184e-09,-7.828742122628629e-08,-2.508287894221355e-09,1.1511761196847161e-07,3.6612794797987806e-09
20.0,-8.403741386109331e-08,-2.437212306943126e-09,-7.806673150978494e-08,-2.1008286242013923e-09,1.147026656058242e-07,3.104574196990115e-09
21.0,-8.363448308901233e-08,-2.054951143627233e-09,-7.768198592716935e-08,-1.692345406403007e-09,1.1414559868499191e-07,2.545970547019448e-09
22.0,-8.321613487183299e-08,-1.6711717776589922e-09,-7.73363053596654e-08,-1.2829538985957592e-09,1.1360382577048411e-07,1.9856225205031505e-09
23.0,-8.278497967695309e-08,-1.2859724908049373e-09,-7.691434715517698e-08,-8.727615476831348e-10,1.130007506984826e-07,1.4236743566205779e-09
24.0,-8.242292143245677e-08,-8.99445809248968e-10,-7.66309507793661e-08,-4.6186750939739484e-10,1.1254261679386424e-07,8.602604714017327e-10
25.0,-8.19730121282003e-08,-5.116784944480092e-10,-7.606280104377472e-08,-5.0362598380569187e-11,1.1182631362964143e-07,2.955054233800848e-10
26.0,-8.167163417782675e-08,-1.2275155598924082e-10,-7.586707061191245e-08,3.616707318975157e-10,1.1147227562272903e-07,-2.704760841896268e-10
27.0,-8.120336883465917e-08,2.672597141713998e-10,-7.522589785813327e-08,7.741583800113741e-10,1.1069292126717046e-07,-8.375791654496358e-10
28.0,-8.087903749509628e-08,6.582856867691444e-10,-7.493686111914588e-08,1.187034558940597e-09,1.1025856819550737e-07,-1.405708679387517e-09
29.0,-8.039588986208379e-08,1.0502623203231133e-09,-7.433114203314606e-08,1.600241730682897e-09,1.094925466991614e-07,-1.9747791236945673e-09
30.0,-8.006224164192055e-08,1.4431310670453871e-09,-7.399591785139936e-08,2.0137305139442187e-09,1.0901999080627516e-07,-2.544714496192677e-09
31.0,-7.963173936920143e-08,1.8368387603938727e-09,-7.354077992405283e-08,2.427459565788963e-09,1.0839492712669904e-07,-3.115448125061138e-09
32.0,-7.924046610541247e-08,2.231337485135387e-09,-7.318033867775853e-08,2.8413954381901587e-09,1.0786293820212049e-07,-3.6869224691629767e-09
33.0,-7.884912653355336e-08,2.62658443081933e-09,-7.279191704956389e-08,3.2555124104744016e-09,1.0731191892261967e-07,-4.259088889833624e-09
34.0,-7.835963178326466e-08,3.0225417295913883e-09,-7.232625601205633e-08,3.669792298708067e-09,1.0663638779483453e-07,-4.83190739555217e-09
35.0,-7.800308504668507e-08,3.4191762793008125e-09,-7.195742737775568e-08,4.084224243117937e-09,1.0612423206612789e-07,-5.405346360965453e-09
36.0,-7.759678827268246e-08,3.816459552874397e-09,-7.160049285415138e-08,4.498804474679738e-09,1.0558357887092525e-07,-5.979382221777934e-09
37.0,-7.719636768710458e-08,4.214367394946019e-09,-7.122418611837933e-08,4.913536062042256e-09,1.0503410813782436e-07,-6.553999147055564e-09
38.0,-7.678212776696114e-08,4.612879806742436e-09,-7.07647582337545e-08,5.328428639982173e-09,1.0441813133888036e-07,-7.129188690519835e-09
39.0,-7.639155596983471e-08,5.011980720233625e-09,-7.045270632166645e-08,5.7434981206050315e-09,1.0391945752138705e-07,-7.704949422427959e-09
40.0,-7.589332276514149e-08,5.4116577625584074e-09,-6.992985557285891e-08,6.158766388519876e-09,1.0319874582946661e-07,-8.28128654364558e-09
41.0,-7.550875391615364e-08,5.811902011733854e-09,-6.958465069428765e-08,6.574260981219687e-09,1.0268201171683516e-07,-8.858211483520054e-09
42.0,-7.504070023700571e-08,6.212707744650553e-09,-6.91028215621392e-08,6.990014755897555e-09,1.0201130643173334e-07,-9.43574148315639e-09
43.0,-7.456817702200524e-08,6.614072178346494e-09,-6.869208402093818e-08,7.406065543920696e-09,1.0138547939189685e-07,-1.0013899165685793e-08
44.0,-7.414237701564019e-08,7.015995205541175e-09,-6.819092915333336e-08,7.822455794172146e-09,1.0073278953907839e-07,-1.0592712095100093e-08
45.0,-7.368996718382093e-08,7.418479125399219e-09,-6.777563768545214e-08,8.239232206453934e-09,1.0011867122181699e-07,-1.1172212325205334e-08
46.0,-7.326383638650569e-08,7.821528370480097e-09,-6.727582149701483e-08,8.656445356127114e-09,9.946670739582605e-08,-1.1752435940225606e-08
47.0,-7.284990069522657e-08,8.225149230817648e-09,-6.677552379097396e-08,9.074149311144163e-09,9.882347195309068e-08,-1.2333422588564838e-08
48.0,-7.248160660555669e-08,8.629349576059608e-09,-6.626968457323912e-08,9.492401242609128e-09,9.821025603041307e-08,-1.2915215011210106e-08
49.0,-7.202250432158941e-08,9.034138576582447e-09,-6.56970141899027e-08,9.911261029981715e-09,9.748506963746624e-08,-1.3497858566235382e-08
50.0,-7.166188936702511e-08,9.439526424479347e-09,-6.530759166789579e-08,1.0330790862024897e-08,9.695621649544891e-08,-1.4081400750839684e-08
51.0,-7.117478445506364e-08,9.845524055297962e-09,-6.476422526047187e-08,1.0751054834583135e-08,9.623021778949642e-08,-1.4665890722328646e-08
52.0,-7.072342522729258e-08,1.0252142871379474e-08,-6.437415769888766e-08,1.1172118546270846e-08,9.563385935599222e-08,-1.525137881942361e-08
53.0,-7.032254620287226e-08,1.065939446762141e-08,-6.402207669564675e-08,1.1594048693147573e-08,9.510040383131071e-08,-1.583791608525783e-08
54.0,-6.984771908080667e-08,1.106729036045533e-08,-6.369502658643e-08,1.2016912663455332e-08,9.452915038567368e-08,-1.6425553793393968e-08
55.0,-6.946835390264638e-08,1.1475841720797518e-08,-6.345592508394393e-08,1.2440778133491948e-08,9.408776021461256e-08,-1.7014342978170167e-08
56.0,-6.894451096139953e-08,1.1885059111696818e-08,-6.309077592303591e-08,1.2865712665687357e-08,9.345475695906158e-08,-1.7604333970650587e-08
57.0,-6.857323861519937e-08,1.2294952231368858e-08,-6.281670286711893e-08,1.3291783309933347e-08,9.299584513983933e-08,-1.8195575941417752e-08
58.0,-6.812813746481794e-08,1.2705529662269938e-08,-6.238475135089683e-08,1.3719056209187384e-08,9.237586435610957e-08,-1.8788116451395322e-08
59.0,-6.770092086938462e-08,1.3116798626826936e-08,-6.183158741956962e-08,1.4147596210326148e-08,9.168729404550315e-08,-1.9382001011830362e-08
60.0,-6.728298873603933e-08,1.3528764750401792e-08,-6.129702931345626e-08,1.4577466481165793e-08,9.10182749556852e-08,-1.9977272654494687e-08
61.0,-6.684136058532353e-08,1.3941431832029983e-08,-6.071199168400376e-08,1.500872813449778e-08,9.02979148105635e-08,-2.057397151308757e-08
62.0,-6.638833657812704e-08,1.435480162343148e-08,-6.015631749678452e-08,1.5441439859917837e-08,8.958902705345462e-08,-2.1172134416741605e-08
63.0,-6.58717453083657e-08,1.4768873616750014e-08,-5.96118903545273e-08,1.5875657564157794e-08,8.884066806148175e-08,-2.177179449645383e-08
64.0,-6.54632350827189e-08,1.5183644841432767e-08,-5.9345276887112774e-08,1.6311434020570125e-08,8.835891033904504e-08,-2.237298080518897e-08
65.0,-6.492990442530377e-08,1.5599109670619014e-08,-5.877285093325302e-08,1.6748818528364725e-08,8.757933829106877e-08,-2.2975717952332804e-08
66.0,-6.449297706989654e-08,1.6015259637364024e-08,-5.8351000267742315e-08,1.7187856582154156e-08,8.6972313546233e-08,-2.358002575311078e-08
67.0,-6.399234123155573e-08,1.643208326098482e-08,-5.764832133881015e-08,1.7628589552324397e-08,8.612983623273982e-08,-2.4185918893528236e-08
68.0,-6.35264033321814e-08,1.6849565883777867e-08,-5.700278141174131e-08,1.807105437671018e-08,8.535174871669442e-08,-2.4793406611333248e-08
69.0,-6.307704403241132e-08,1.7267689518325397e-08,-5.6310101248513433e-08,1.8515283264019238e-08,8.455495837906013e-08,-2.540249239345207e-08
70.0,-6.262609197893454e-08,1.7686432705577293e-08,-5.571029401685301e-08,1.89613034094236e-08,8.381923559659905e-08,-2.6013173690304504e-08
71.0,-6.232018073815127e-08,1.8105770383868783e-08,-5.5431464793254115e-08,1.94091367227241e-08,8.34053488474307e-08,-2.662544164737556e-08
72.0,-6.177919675831589e-08,1.8525673769009617e-08,-5.488913962237163e-08,1.985879956949968e-08,8.264070910021838e-08,-2.7239280854402124e-08
73.0,-6.136761965258586e-08,1.894611024555632e-08,-5.463788690929228e-08,2.0310302525673016e-08,8.21661939470063e-08,-2.7854669112525532e-08
74.0,-6.08620924491543e-08,1.9367043269353752e-08,-5.4223735987402044e-08,2.0763650145952463e-08,8.15132372177727e-08,-2.847157721975796e-08
75.0,-6.041806857592924e-08,1.978843228140555e-08,-5.395615852721303e-08,2.1218840746638068e-08,8.10037656745625e-08,-2.9089968775106106e-08
76.0,-5.996913388095493e-08,2.021023263310627e-08,-5.346058494504202e-08,2.1675866203301597e-08,8.033885212708699e-08,-2.970980000168727e-08
77.0,-5.950807985266593e-08,2.063239552284264e-08,-5.306125692994268e-08,2.213471176386226e-08,7.972896935704521e-08,-3.0331019589158873e-08
78.0,-5.91316937637032e-08,2.105486794394802e-08,-5.285663214060765e-08,2.25953558775802e-08,7.93119207219942e-08,-3.095356855576228e-08
79.0,-5.859027288335206e-08,2.1477592643972493e-08,-5.236231019611903e-08,2.3057770040479218e-08,7.857882415524077e-08,-3.1577380130255424e-08
80.0,-5.818617132558046e-08,2.1900508095210226e-08,-5.2079028547979966e-08,2.3521918657688513e-08,7.808876838592803e-08,-3.2202379653976216e-08
81.0,-5.7776470496762045e-08,2.2323548476405764e-08,-5.1580824833585837e-08,2.398775892316059e-08,7.74512881337443e-08,-3.28284845032388e-08
