dataset,station,sim,template,csv_path,meta_path,fs,n_samples
ingv,EMAS,sim1,template2,/home/owen/tilt_templates_csv/ingv/EMAS_sim1_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim1_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
ingv,EMAS,sim1,template3,/home/owen/tilt_templates_csv/ingv/EMAS_sim1_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim1_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
ingv,EMAS,sim1,template4,/home/owen/tilt_templates_csv/ingv/EMAS_sim1_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim1_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
ingv,EMAS,sim2,template1,/home/owen/tilt_templates_csv/ingv/EMAS_sim2_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim2_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
ingv,EMAS,sim2,template2,/home/owen/tilt_templates_csv/ingv/EMAS_sim2_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim2_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
ingv,EMAS,sim2,template3,/home/owen/tilt_templates_csv/ingv/EMAS_sim2_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim2_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
ingv,EMAS,sim2,template4,/home/owen/tilt_templates_csv/ingv/EMAS_sim2_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim2_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
ingv,EMAS,sim3,template1,/home/owen/tilt_templates_csv/ingv/EMAS_sim3_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim3_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
ingv,EMAS,sim3,template2,/home/owen/tilt_templates_csv/ingv/EMAS_sim3_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim3_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
ingv,EMAS,sim3,template3,/home/owen/tilt_templates_csv/ingv/EMAS_sim3_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim3_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
ingv,EMAS,sim3,template4,/home/owen/tilt_templates_csv/ingv/EMAS_sim3_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim3_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
ingv,EMAS,sim4,template1,/home/owen/tilt_templates_csv/ingv/EMAS_sim4_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim4_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
ingv,EMAS,sim4,template2,/home/owen/tilt_templates_csv/ingv/EMAS_sim4_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim4_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
ingv,EMAS,sim4,template3,/home/owen/tilt_templates_csv/ingv/EMAS_sim4_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim4_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
ingv,EMAS,sim4,template4,/home/owen/tilt_templates_csv/ingv/EMAS_sim4_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/ingv/EMAS_sim4_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
