dataset,station,sim,template,floor_detect,floor_signif,n_detect,n_signif,n_between,max_r,mean_r
experiment,ECOR,sim1,template1,0.4946,0.5331,1,0,1,0.517,0.517
experiment,ECOR,sim1,template2,0.4965,0.5391,1,0,1,0.51,0.51
experiment,ECOR,sim1,template3,0.5588,0.5821,3,2,1,0.615,0.591
experiment,ECOR,sim1,template4,0.2774,0.3081,1,0,1,0.288,0.288
experiment,ECOR,sim2,template1,0.637,0.6678,5,0,5,0.667,0.651
experiment,ECOR,sim2,template2,0.4461,0.5014,9,2,7,0.572,0.494
experiment,ECOR,sim2,template3,0.3942,0.4218,17,12,5,0.549,0.455
experiment,ECOR,sim2,template4,0.254,0.283,14,5,9,0.322,0.281
experiment,ECOR,sim3,template1,0.5034,0.5517,8,7,1,0.644,0.572
experiment,ECOR,sim3,template2,0.4888,0.5189,2,0,2,0.515,0.51
experiment,ECOR,sim3,template3,0.5118,0.5371,0,0,0,0.0,0.0
experiment,ECOR,sim3,template4,0.2927,0.318,1,1,0,0.334,0.334
experiment,ECOR,sim4,template1,0.496,0.5303,3,3,0,0.71,0.655
experiment,ECOR,sim4,template2,0.4846,0.5389,1,0,1,0.513,0.513
experiment,ECOR,sim4,template3,0.5183,0.5601,1,1,0,0.571,0.571
experiment,ECOR,sim4,template4,0.2861,0.3065,2,1,1,0.314,0.301
experiment,EMAS,sim2,template1,0.5526,0.5944,11,3,8,0.628,0.584
experiment,EMAS,sim2,template2,0.4811,0.5298,3,2,1,0.557,0.542
experiment,EMAS,sim2,template3,0.4743,0.5126,3,1,2,0.517,0.496
experiment,EMAS,sim2,template4,0.2689,0.2838,13,10,3,0.345,0.3
experiment,EMAS,sim3,template1,0.5413,0.5686,7,5,2,0.621,0.585
experiment,EMAS,sim3,template2,0.5379,0.5972,5,1,4,0.637,0.576
experiment,EMAS,sim3,template3,0.5789,0.613,2,2,0,0.707,0.673
experiment,EMAS,sim3,template4,0.3158,0.3484,10,7,3,0.44,0.382
experiment,EMAS,sim4,template1,0.5512,0.6048,10,6,4,0.675,0.611
experiment,EMAS,sim4,template2,0.5268,0.5774,6,1,5,0.602,0.556
experiment,EMAS,sim4,template3,0.602,0.6466,3,0,3,0.626,0.619
experiment,EMAS,sim4,template4,0.3143,0.3486,16,10,6,0.397,0.358
